X,Y,Z,Timestamp
0.04,-0.03,0.25,1719425848.2220852
-0.19,-0.08,0.36,1719425848.2230854
-0.19,-0.09,0.33,1719425848.2230854
-0.24,-0.03,0.22,1719425848.2230854
-0.26,-0.02,0.17,1719425848.2230854
-0.13,0.03,0.43,1719425848.2240856
0.08,0.08,0.34,1719425848.2240856
0.09,0.1,0.36,1719425848.2240856
0.07,0.09,0.45,1719425848.2240856
-0.16,0.03,0.48,1719425848.2250862
-0.13,0.05,0.28,1719425848.2250862
-0.31,0.02,0.39,1719425848.2250862
-0.39,-0.05,0.39,1719425848.2250862
-0.24,0.03,0.39,1719425848.2250862
-0.27,0.02,0.55,1719425848.2261853
-0.3,0.03,0.53,1719425848.2261853
-0.41,-0.08,0.5,1719425848.2261853
-0.33,-0.13,0.58,1719425848.2261853
-0.43,-0.08,0.56,1719425848.2718213
-0.44,-0.11,0.53,1719425848.2718213
-0.45,-0.12,0.52,1719425848.2728233
-0.32,-0.1,0.51,1719425848.2728233
-0.28,0.08,0.59,1719425848.3384092
-0.3,-0.08,0.45,1719425848.3384092
-0.28,-0.07,0.59,1719425848.339416
-0.38,-0.02,0.56,1719425848.405071
-0.28,-0.03,0.61,1719425848.405071
-0.37,-0.14,0.63,1719425848.4060712
-0.37,-0.14,0.59,1719425848.4065764
-0.27,-0.03,0.46,1719425848.4717598
-0.29,-0.06,0.44,1719425848.472765
-0.34,-0.13,0.24,1719425848.472765
-0.43,-0.02,0.24,1719425848.5388796
-0.44,-0.13,0.34,1719425848.539284
-0.51,-0.15,0.56,1719425848.539284
-0.59,-0.13,0.44,1719425848.5403016
-0.62,-0.2,0.34,1719425848.6050112
-0.6,-0.13,0.32,1719425848.6050112
-0.53,-0.22,0.34,1719425848.6060116
-0.4,-0.18,0.46,1719425848.6716034
-0.36,-0.14,0.33,1719425848.6716034
-0.33,-0.12,0.19,1719425848.6731093
-0.23,-0.27,0.26,1719425848.6731093
-0.03,-0.44,0.91,1719425848.7382767
-0.03,-0.33,0.85,1719425848.7392762
-0.07,-0.41,0.77,1719425848.7392762
0.03,-0.42,0.92,1719425848.7402766
0.16,-0.3,0.82,1719425848.8050065
0.22,-0.44,0.78,1719425848.8050065
0.07,-0.44,0.76,1719425848.8064842
-0.15,-0.4,0.71,1719425848.8711905
-0.22,-0.46,0.65,1719425848.872197
-0.26,-0.42,0.59,1719425848.8731961
-0.2,-0.44,0.52,1719425848.8731961
-0.4,-0.44,0.55,1719425848.9378526
-0.44,-0.39,0.35,1719425848.9390738
-0.51,-0.39,0.21,1719425848.939578
-0.36,-0.37,0.11,1719425849.0043979
-0.4,-0.33,0.82,1719425849.005398
-0.44,-0.35,0.76,1719425849.0063982
-0.53,-0.41,0.7,1719425849.0063982
-0.58,-0.37,0.75,1719425849.071836
