X,Y,Z,Timestamp
-0.63,-0.05,0.29,1719424776.719151
-0.34,0.12,0.28,1719424776.719151
0.05,0.03,0.39,1719424776.7201512
0.18,0.02,0.31,1719424776.7201512
0.4,0.11,0.27,1719424776.7201512
0.54,-0.03,0.1,1719424776.7201512
0.5,-0.11,-0.02,1719424776.7211516
0.04,-0.29,0.11,1719424776.7211516
-0.4,-0.31,0.11,1719424776.7211516
-0.48,-0.25,-0.04,1719424776.7211516
-0.67,-0.27,-0.13,1719424776.7211516
-0.7,0.17,0.03,1719424776.722152
-0.83,0.06,-0.01,1719424776.722152
-0.86,0.05,0.12,1719424776.722152
-0.72,0.1,0.28,1719424776.722152
-0.64,0.13,0.15,1719424776.722152
-0.68,0.07,0.12,1719424776.7231522
-0.83,0.17,0.21,1719424776.7231522
-0.77,0.06,0.39,1719424776.7231522
-0.64,0.08,0.41,1719424776.7231522
-0.6,0.13,0.43,1719424776.7231522
-0.5,0.1,0.31,1719424776.724152
-0.61,0.11,0.43,1719424776.724152
-0.54,0.08,0.39,1719424776.724152
-0.69,0.11,0.4,1719424776.724152
-0.88,0.03,0.24,1719424776.7251525
-0.85,0.11,0.29,1719424776.7256553
-0.38,0.18,0.43,1719424776.7256553
-0.43,0.15,0.43,1719424776.7256553
-0.55,0.16,0.44,1719424776.7918143
-0.5,0.1,0.34,1719424776.7918143
-0.52,0.1,0.3,1719424776.7928267
-0.65,0.15,0.34,1719424776.8586082
-0.69,0.13,0.34,1719424776.8586082
-0.51,0.17,0.31,1719424776.8586082
-0.49,0.13,0.34,1719424776.859775
-0.53,0.18,0.39,1719424776.9254785
-0.49,0.15,0.33,1719424776.9254785
-0.54,0.18,0.38,1719424776.9264967
-0.55,0.1,0.42,1719424776.9264967
-0.59,0.18,0.38,1719424776.9919765
-0.54,0.12,0.37,1719424776.9924812
-0.59,0.13,0.41,1719424776.9924812
-0.52,0.1,0.65,1719424776.9934862
-0.56,0.14,0.78,1719424777.0586061
-0.53,0.1,0.82,1719424777.0586061
-0.54,0.12,1.1,1719424777.0596085
-0.58,0.09,1.3,1719424777.125048
-0.75,-0.03,1.22,1719424777.1255515
-0.53,-0.03,0.94,1719424777.1255515
-0.31,0.02,0.62,1719424777.1255515
0.04,0.14,0.24,1719424777.1919456
0.56,0.23,-0.09,1719424777.1919456
1.1,0.3,-0.46,1719424777.1929002
1.26,0.33,-0.62,1719424777.1929002
0.74,0.08,-0.99,1719424777.2587087
0.18,0.06,-1.34,1719424777.2593665
-0.39,-0.15,-1.26,1719424777.2593665
-0.86,-0.39,-0.91,1719424777.325405
-1.7,-2.37,1.16,1719424777.325405
-1.31,-2.02,0.95,1719424777.325405
-1.45,-1.99,0.19,1719424777.326421
-1.82,-2.09,-0.5,1719424777.3919256
-1.21,-2.29,-0.28,1719424777.3919256
-1.02,-2.43,0.03,1719424777.39293
-1.4,-2.75,-0.11,1719424777.45812
-1.33,-3.12,0.1,1719424777.4591203
-1.19,-3.3,0.24,1719424777.4591203
-0.6,-3.3,0.49,1719424777.4591203
-0.45,-3.3,1.06,1719424777.5250473
-0.24,-3.3,1.34,1719424777.5250473
0.13,-3.3,1.45,1719424777.5260634
-0.67,-0.17,-0.54,1719424777.591925
