X,Y,Z,Timestamp
-0.16,-0.51,0.16,1719425233.9317315
-0.09,-0.39,0.16,1719425233.9317315
-0.04,-0.34,0.32,1719425233.9317315
-0.22,-0.29,0.13,1719425233.9317315
-0.3,-0.28,-0.03,1719425233.9317315
-0.45,-0.14,-0.2,1719425233.9317315
-0.46,-0.07,-0.2,1719425233.9317315
-0.41,0.02,0.01,1719425233.9317315
-0.1,-0.06,0.67,1719425233.9317315
-0.1,0.05,0.55,1719425233.9317315
-0.13,-0.02,0.68,1719425233.9317315
-0.16,0.02,0.66,1719425233.9317315
-0.26,-0.04,0.63,1719425233.9317315
-0.23,-0.04,0.65,1719425233.951952
-0.16,0.08,0.61,1719425233.951952
-0.26,0.02,0.57,1719425233.951952
-0.17,0.03,0.58,1719425233.951952
-0.22,-0.03,0.49,1719425234.0230577
-0.2,0.05,0.44,1719425234.0230577
-0.25,-0.06,0.46,1719425234.0230577
-0.13,0.03,0.49,1719425234.0230577
-0.13,0.03,0.52,1719425234.083273
-0.14,-0.02,0.44,1719425234.083273
0.37,-0.19,0.75,1719425234.083273
-0.08,-0.3,0.9,1719425234.1530712
-0.46,-0.26,0.82,1719425234.1530712
-0.59,-0.26,0.73,1719425234.1530712
-0.48,-0.29,0.58,1719425234.1530712
-0.85,-0.31,0.34,1719425234.2144098
-1.04,-0.23,0.29,1719425234.2245884
-1.11,-0.23,0.3,1719425234.2245884
-1.11,-0.24,0.31,1719425234.2245884
-0.97,-0.11,0.21,1719425234.2851822
-0.61,-0.15,0.1,1719425234.2851822
-0.36,-0.03,0.24,1719425234.2851822
-0.6,-0.12,0.41,1719425234.355403
-0.77,-0.14,0.45,1719425234.355403
-0.43,-0.09,0.29,1719425234.355403
-0.23,-0.16,0.05,1719425234.355403
-0.0,-0.12,-0.2,1719425234.4156644
0.13,-0.15,-0.51,1719425234.4156644
0.17,-0.14,-0.74,1719425234.4156644
0.03,-0.16,-0.85,1719425234.4861927
-0.2,-0.36,-0.85,1719425234.4861927
0.02,-0.51,-0.59,1719425234.4861927
0.06,-0.62,-0.3,1719425234.4861927
0.19,-0.63,0.23,1719425234.5569904
0.05,-0.64,1.27,1719425234.5569904
-0.7,-0.75,1.97,1719425234.5569904
-1.1,-0.67,2.52,1719425234.6177378
-1.04,-0.63,2.67,1719425234.6177378
-0.39,-0.61,0.54,1719425234.6177378
-0.34,-0.48,0.41,1719425234.6177378
-0.41,-0.58,0.41,1719425234.6910377
-0.62,-0.64,0.38,1719425234.6910377
-0.73,-0.65,0.48,1719425234.692074
-0.39,-0.65,0.59,1719425234.750106
0.03,-0.58,0.47,1719425234.750106
0.05,-0.6,0.31,1719425234.750106
-0.1,-0.59,0.51,1719425234.750106
-0.15,-0.64,0.7,1719425234.8210056
-0.36,-0.64,0.75,1719425234.8210056
-0.18,-0.54,0.73,1719425234.8210056
-0.02,-0.63,0.85,1719425234.8210056
0.39,-0.57,0.8,1719425234.8812735
-0.15,-0.34,0.46,1719425234.8917682
-0.24,-0.44,0.44,1719425234.8917682
-0.26,-0.43,0.6,1719425234.9529207
-0.31,-0.39,0.71,1719425234.9529207
-0.2,-0.42,0.71,1719425234.9529207
-0.08,-0.45,0.82,1719425234.9529207
-0.15,-0.4,0.82,1719425235.0238142
-0.15,-0.39,0.92,1719425235.0238142
-0.1,-0.38,1.04,1719425235.0238142
-0.08,-0.39,1.26,1719425235.0854332
-0.11,-0.44,1.44,1719425235.0854332
-0.13,-0.41,1.43,1719425235.0854332
-0.19,-0.47,1.31,1719425235.0854332
0.02,-0.44,1.1,1719425235.1569104
