X,Y,Z,Timestamp
0.26,-0.55,0.75,1719393657.1514418
0.26,-0.57,0.86,1719393657.1514418
0.14,-0.58,0.91,1719393657.152482
0.08,-0.62,0.96,1719393657.1527624
0.2,-0.63,1.08,1719393657.1527624
0.08,-0.68,0.98,1719393657.1535087
0.08,-0.62,0.88,1719393657.1535087
0.02,-0.58,0.53,1719393657.1535087
-0.05,-0.41,0.23,1719393657.1535087
-0.01,-0.23,-0.0,1719393657.1535087
-0.07,-0.21,-0.17,1719393657.154529
-0.25,-0.25,0.01,1719393657.154529
-0.25,-0.27,0.13,1719393657.154529
0.03,-0.12,0.7,1719393657.154529
-0.03,-0.1,0.64,1719393657.154529
-0.05,-0.18,0.59,1719393657.155529
-0.1,-0.22,0.55,1719393657.155529
-0.19,-0.12,0.67,1719393657.155529
-0.11,-0.18,0.65,1719393657.155529
-0.09,-0.19,0.52,1719393657.155529
-0.15,-0.22,0.57,1719393657.155529
-0.04,-0.14,0.54,1719393657.1565294
-0.09,-0.17,0.54,1719393657.1565294
-0.06,-0.13,0.55,1719393657.1565294
-0.03,-0.17,0.6,1719393657.1860287
-0.16,-0.19,0.57,1719393657.1860287
-0.01,-0.12,0.56,1719393657.1860287
-0.08,-0.16,0.62,1719393657.1870325
0.05,-0.15,0.59,1719393657.252693
0.07,-0.05,0.54,1719393657.252693
0.08,-0.15,0.52,1719393657.252693
0.1,-0.13,0.64,1719393657.3196762
-0.03,-0.16,0.6,1719393657.3196762
0.03,-0.12,0.57,1719393657.3201993
-0.02,-0.04,0.51,1719393657.3201993
-0.07,-0.07,0.43,1719393657.386099
0.05,-0.14,0.5,1719393657.386099
0.07,-0.19,0.54,1719393657.3870995
-0.01,-0.1,0.56,1719393657.3878038
0.06,-0.19,0.57,1719393657.4526854
-0.1,-0.18,0.58,1719393657.4526854
-0.07,-0.17,0.47,1719393657.453689
0.12,-0.11,-0.28,1719393657.5194046
0.18,-0.24,-0.32,1719393657.5194046
0.18,-0.29,-0.73,1719393657.5194046
0.23,-0.43,-0.96,1719393657.5204086
0.17,-0.79,-0.71,1719393657.5860374
-0.0,-1.34,0.1,1719393657.5860374
0.02,-1.68,1.37,1719393657.5860374
-0.12,-1.51,1.88,1719393657.5870414
-0.05,-1.3,1.57,1719393657.6527016
-0.1,-1.01,0.86,1719393657.6537068
-0.12,-1.06,0.69,1719393657.654677
-0.3,-1.1,0.69,1719393657.719193
-0.22,-1.01,0.72,1719393657.7201934
-0.23,-0.97,0.69,1719393657.7201934
-0.32,-0.78,-0.02,1719393657.7212794
-0.38,-0.83,0.2,1719393657.7860465
-0.43,-0.83,0.26,1719393657.7860465
-0.32,-0.85,0.31,1719393657.78705
-0.27,-0.83,0.31,1719393657.8527176
-0.1,-0.93,0.29,1719393657.8527176
-0.1,-0.88,0.33,1719393657.8527176
-0.03,-0.75,0.34,1719393657.8537216
0.2,-0.79,0.24,1719393657.9196587
0.13,-0.73,0.26,1719393657.9206645
0.27,-0.72,0.36,1719393657.921166
0.25,-0.69,0.37,1719393657.986045
0.33,-0.58,0.53,1719393657.986045
0.47,-0.7,0.59,1719393657.986045
0.46,-0.6,0.69,1719393657.9870484
0.21,-0.57,0.76,1719393658.0527093
0.1,-0.53,0.82,1719393658.0527093
0.1,-0.53,0.86,1719393658.0527093
0.15,-0.66,1.01,1719393658.0537136
-0.23,-0.73,1.05,1719393658.1194172
