X,Y,Z,Timestamp
-0.08,-1.63,0.37,1719393958.9972773
0.07,-1.36,-0.13,1719393958.9989834
0.13,-0.97,-0.47,1719393958.9989834
0.15,-0.43,-0.73,1719393958.9989834
-0.02,-0.16,-0.73,1719393958.9999998
-0.29,-0.12,-0.54,1719393958.9999998
-0.06,-0.03,-0.08,1719393958.9999998
-0.17,-0.07,0.22,1719393958.9999998
-0.22,-0.02,0.38,1719393958.9999998
-0.1,-0.05,0.44,1719393959.0010002
-0.18,0.03,0.37,1719393959.0010002
-0.22,0.1,0.29,1719393959.0010002
-0.1,0.02,0.67,1719393959.0010002
-0.04,-0.0,0.57,1719393959.0010002
-0.13,0.02,0.57,1719393959.002
-0.05,-0.01,0.59,1719393959.002
-0.1,0.04,0.54,1719393959.002
-0.22,0.02,0.58,1719393959.002
-0.11,-0.03,0.57,1719393959.002
-0.2,0.01,0.59,1719393959.002
-0.15,-0.02,0.63,1719393959.0031836
-0.15,-0.05,0.57,1719393959.0031836
-0.13,-0.03,0.6,1719393959.0031836
-0.17,0.04,0.56,1719393959.0031836
-0.08,0.03,0.57,1719393959.0475636
-0.13,-0.06,0.55,1719393959.0475636
-0.12,0.01,0.48,1719393959.0475636
-0.07,-0.08,0.55,1719393959.0485668
-0.13,-0.05,0.53,1719393959.1142433
-0.07,-0.06,0.63,1719393959.1142433
-0.08,-0.03,0.62,1719393959.1142433
-0.1,-0.09,0.61,1719393959.1809144
-0.17,-0.05,0.61,1719393959.1812263
-0.15,-0.01,0.6,1719393959.1812263
-0.14,0.03,0.55,1719393959.1812263
-0.17,-0.09,0.64,1719393959.2475677
-0.15,-0.07,0.57,1719393959.2485712
-0.09,-0.13,0.7,1719393959.2485712
-0.13,-0.08,0.64,1719393959.2485712
-0.06,-0.08,0.7,1719393959.3142295
-0.11,-0.08,0.64,1719393959.3142295
-1.01,-2.04,3.0,1719393959.315233
-0.52,-1.12,1.32,1719393959.3809185
-0.23,-0.83,0.19,1719393959.3812282
-0.4,-0.96,0.43,1719393959.3812282
-0.67,-1.05,0.82,1719393959.3812282
-0.53,-1.06,0.68,1719393959.4475718
-0.45,-0.97,0.44,1719393959.4475718
-0.4,-0.9,0.59,1719393959.4485753
-0.67,-1.13,1.04,1719393959.514239
-0.9,-1.37,1.52,1719393959.514239
-1.01,-1.71,1.67,1719393959.5152414
-0.92,-2.04,1.3,1719393959.5152414
-0.51,-2.23,0.54,1719393959.58123
-0.03,-1.92,0.76,1719393959.58123
-0.1,0.25,-0.78,1719393959.5822382
0.1,-0.06,-0.63,1719393959.647587
-0.2,-0.28,-0.26,1719393959.647587
-0.38,-0.43,-0.33,1719393959.647587
-0.73,-0.92,-0.93,1719393959.64859
0.13,-1.92,-0.48,1719393959.7142503
0.87,-1.62,-0.76,1719393959.7142503
0.82,-2.06,-1.14,1719393959.7152538
-0.67,-2.91,0.07,1719393959.7809021
-0.98,-3.3,1.89,1719393959.7812378
-1.4,-3.18,3.3,1719393959.7812378
-0.94,-1.7,2.51,1719393959.78224
-0.55,-1.15,0.5,1719393959.8475735
