X,Y,Z,Timestamp
0.54,-0.25,0.21,1719394297.206261
0.44,-0.31,0.44,1719394297.2064362
0.33,-0.44,0.71,1719394297.2074573
0.18,-0.36,0.7,1719394297.2074573
0.09,-0.38,0.66,1719394297.2074573
0.07,-0.39,0.64,1719394297.2084792
0.08,-0.35,0.55,1719394297.2084792
-0.01,-0.34,0.62,1719394297.2084792
0.02,-0.34,0.53,1719394297.2084792
0.1,-0.34,0.49,1719394297.2094793
0.09,-0.28,0.45,1719394297.2094793
0.11,-0.36,0.35,1719394297.2094793
-0.21,-0.53,0.47,1719394297.2094793
-0.15,-0.54,0.54,1719394297.2104795
-0.2,-0.49,0.62,1719394297.2104795
-0.19,-0.58,0.63,1719394297.2113092
-0.05,-0.6,0.58,1719394297.2113092
-0.05,-0.56,0.63,1719394297.2113092
-0.05,-0.62,0.74,1719394297.2123086
-0.08,-0.65,0.7,1719394297.2123086
-0.16,-0.63,0.57,1719394297.2123086
-0.21,-0.54,0.58,1719394297.2123086
-0.25,-0.54,0.5,1719394297.2133088
-0.43,-0.55,0.47,1719394297.2133088
-0.38,-0.61,0.57,1719394297.2133088
-0.33,-0.63,0.58,1719394297.2133088
-0.39,-0.38,0.62,1719394297.2133088
-0.34,-0.38,0.4,1719394297.2143095
-0.47,-0.2,0.38,1719394297.2143095
-0.38,-0.29,0.36,1719394297.2143095
-0.34,-0.28,0.54,1719394297.2143095
-0.34,-0.18,0.44,1719394297.2143095
-0.23,-0.08,0.48,1719394297.2143095
-0.24,-0.11,0.47,1719394297.2153094
-0.34,-0.06,0.49,1719394297.2153094
-0.29,-0.1,0.59,1719394297.2153094
-0.43,-0.18,0.52,1719394297.2153094
-0.44,-0.13,0.61,1719394297.2153094
-0.4,-0.08,0.48,1719394297.2163098
-0.35,-0.11,0.52,1719394297.2462616
-0.5,-0.12,0.71,1719394297.2462616
-0.56,-0.11,0.72,1719394297.2462616
-0.67,-0.23,1.0,1719394297.2477264
-0.62,-0.24,0.86,1719394297.313484
-0.65,-0.18,0.74,1719394297.313484
-0.73,-0.21,0.58,1719394297.314571
-0.85,-0.18,0.46,1719394297.379621
-0.79,-0.19,0.29,1719394297.379621
-0.59,-0.11,0.18,1719394297.379621
-0.43,-0.05,-0.02,1719394297.3811681
-0.32,-0.03,-0.08,1719394297.446271
-0.3,0.07,-0.04,1719394297.4477882
-0.14,0.04,0.19,1719394297.4477882
-0.05,0.05,0.17,1719394297.5127068
0.1,-0.33,0.82,1719394297.5137115
0.24,-0.36,0.7,1719394297.5143337
0.2,-0.3,0.64,1719394297.5143337
0.37,-0.32,0.7,1719394297.5796056
0.37,-0.34,0.8,1719394297.5796056
0.43,-0.34,0.78,1719394297.5796056
0.37,-0.33,0.89,1719394297.581152
0.44,-0.39,1.02,1719394297.6462917
0.34,-0.42,0.82,1719394297.6462917
0.19,-0.36,0.67,1719394297.6478362
-0.08,-0.47,0.41,1719394297.7129438
-0.31,-0.43,0.13,1719394297.7129438
-0.53,-0.36,-0.06,1719394297.7139463
-0.76,-0.33,-0.05,1719394297.7144628
-0.85,-0.32,0.02,1719394297.779603
-0.69,-0.88,0.6,1719394297.779603
-0.67,-0.86,0.48,1719394297.779603
-0.53,-0.76,0.47,1719394297.8462765
-0.51,-0.79,0.52,1719394297.8462765
-0.39,-0.85,0.7,1719394297.8462765
-0.28,-0.83,0.82,1719394297.8478057
-0.05,-0.85,0.97,1719394297.912954
