X,Y,Z,Timestamp
-0.34,-0.06,0.49,1719431978.1040199
-0.33,-0.09,0.59,1719431978.10502
-0.24,-0.19,0.6,1719431978.10502
-0.24,-0.14,0.63,1719431978.10502
-0.19,-0.02,0.67,1719431978.10502
-0.24,-0.12,0.69,1719431978.1060205
-0.23,-0.13,0.59,1719431978.1060205
-0.34,-0.06,0.48,1719431978.1060205
-0.47,-0.07,0.42,1719431978.1060205
-0.43,-0.14,0.52,1719431978.1060205
-0.38,-0.18,0.49,1719431978.1070206
-0.31,-0.08,0.66,1719431978.1070206
-0.19,-0.11,0.9,1719431978.1070206
-0.49,0.02,0.54,1719431978.1070206
-0.4,0.02,0.54,1719431978.1547062
-0.39,0.03,0.45,1719431978.1552153
-0.35,0.03,0.36,1719431978.1552153
-0.48,0.1,0.23,1719431978.2213697
-0.45,0.06,0.26,1719431978.2213697
-0.32,-0.05,0.59,1719431978.2213697
-0.56,-0.13,0.65,1719431978.222277
-0.58,-0.12,0.52,1719431978.2880456
-0.59,-0.11,0.53,1719431978.2880456
-0.34,-0.15,0.69,1719431978.2888114
-0.35,-0.09,0.28,1719431978.2888114
-0.34,-0.12,0.28,1719431978.3543134
-0.38,-0.15,0.36,1719431978.3553107
0.62,-0.44,0.5,1719431978.3563106
0.65,-0.34,0.7,1719431978.4213579
0.13,-0.85,0.9,1719431978.4213579
-0.23,-1.13,1.13,1719431978.4213579
-0.04,-1.08,1.22,1719431978.4223554
-0.04,-1.0,1.31,1719431978.4880288
-0.16,-1.03,1.21,1719431978.4880288
-0.22,-1.04,1.22,1719431978.4880288
-0.48,-1.17,1.13,1719431978.5547056
-0.53,-1.05,0.88,1719431978.5547056
-0.52,-0.99,0.66,1719431978.555846
-0.51,-0.85,0.74,1719431978.555846
-0.31,-0.9,0.7,1719431978.6213772
-0.28,-0.9,0.93,1719431978.6233106
-0.32,-1.05,0.92,1719431978.6243107
-0.58,-0.48,0.05,1719431978.6880536
-0.47,-0.24,0.09,1719431978.6880536
-0.33,-0.15,0.14,1719431978.6880536
-0.23,-0.09,0.02,1719431978.6890535
-0.18,-0.08,0.01,1719431978.7546892
-0.28,0.05,0.12,1719431978.7546892
-0.29,-0.02,0.19,1719431978.7546892
-0.12,-0.04,0.55,1719431978.7546892
0.03,-0.07,0.44,1719431978.8213763
-0.25,-0.17,0.49,1719431978.8224452
-0.2,-0.03,0.42,1719431978.8224452
-0.04,0.02,0.47,1719431978.888046
