X,Y,Z,Timestamp
-0.18,-0.33,0.75,1719432648.6394784
-0.08,-0.29,0.59,1719432648.6394784
-0.22,-0.29,0.6,1719432648.6394784
-0.2,-0.29,0.61,1719432648.640479
-0.06,-0.28,0.56,1719432648.640479
-0.1,-0.21,0.41,1719432648.640479
-0.23,-0.25,0.39,1719432648.640479
-0.23,-0.2,0.44,1719432648.6414793
-0.13,-0.31,0.62,1719432648.6414793
-0.22,-0.34,0.76,1719432648.6414793
-0.18,-0.28,0.78,1719432648.66356
-0.24,-0.31,0.61,1719432648.66356
-0.15,-0.19,0.72,1719432648.66356
-0.17,-0.24,0.47,1719432648.730229
-0.31,-0.23,0.64,1719432648.7312315
-0.46,-0.31,0.55,1719432648.7312315
-0.57,-0.27,0.6,1719432648.7312315
-0.61,-0.32,0.57,1719432648.7969756
-0.77,-0.4,0.43,1719432648.7969756
-0.88,-0.44,0.43,1719432648.7969756
-1.0,-0.51,0.44,1719432648.797976
-1.03,-0.59,0.57,1719432648.8635502
-0.83,-0.51,0.72,1719432648.863967
-0.61,-0.59,0.82,1719432648.863967
-0.34,-0.44,0.77,1719432648.9302318
-0.09,-0.43,0.66,1719432648.9302318
0.08,-0.31,0.54,1719432648.9302318
0.08,-0.28,0.54,1719432648.9312515
-0.03,-0.04,0.34,1719432648.9969006
0.11,-0.1,0.15,1719432648.9969006
-0.02,-0.09,-0.1,1719432648.9979322
-0.25,-0.14,-0.03,1719432649.0629673
-0.18,-0.21,-0.16,1719432649.0639753
-0.3,-0.39,-0.19,1719432649.0639753
-0.28,-0.46,-0.09,1719432649.0639753
-0.27,-0.44,-0.03,1719432649.1302164
-0.18,-0.5,0.1,1719432649.1308267
-0.1,-0.63,0.47,1719432649.1308267
-0.13,-0.75,0.89,1719432649.196933
-0.07,-0.71,1.25,1719432649.196933
-0.03,-0.79,1.34,1719432649.1979356
-0.13,-0.71,1.44,1719432649.1979356
0.17,-0.49,0.46,1719432649.263556
0.08,-0.49,0.45,1719432649.2645612
-0.1,-0.58,0.39,1719432649.2645612
-0.12,-0.61,0.13,1719432649.3302295
-0.18,-0.5,0.04,1719432649.3302295
-0.03,-0.56,0.13,1719432649.3302295
-0.08,-0.64,0.38,1719432649.3302295
-0.23,-0.72,0.72,1719432649.3964748
-0.27,-0.67,0.8,1719432649.3974755
-0.26,-0.7,0.78,1719432649.3974755
-0.3,-0.74,0.57,1719432649.463552
-0.3,-0.72,0.41,1719432649.463552
-0.28,-0.65,0.22,1719432649.463552
-0.37,-0.72,0.14,1719432649.4645543
-0.13,-0.59,-0.03,1719432649.5302927
-0.35,-0.66,0.34,1719432649.5312932
-0.58,-0.54,0.23,1719432649.5312932
-0.44,-0.63,0.59,1719432649.5322933
-0.39,-0.56,0.55,1719432649.5969088
