X,Y,Z,Timestamp
0.07,-0.05,0.43,1719433239.7548068
0.05,-0.08,0.68,1719433239.7548068
0.08,-0.05,0.86,1719433239.7548068
0.08,-0.06,1.06,1719433239.755807
0.13,-0.03,0.98,1719433239.755807
0.15,-0.06,0.82,1719433239.756807
0.1,-0.07,0.76,1719433239.756807
0.11,-0.03,0.62,1719433239.756807
-0.0,0.02,0.6,1719433239.7578073
-0.27,0.05,0.4,1719433239.7578073
-0.21,0.07,0.39,1719433239.7967825
-0.15,0.12,0.39,1719433239.7967825
-0.23,0.05,0.56,1719433239.7978032
-0.15,0.02,0.7,1719433239.7978032
-0.02,0.03,0.69,1719433239.8634312
-0.03,0.1,0.65,1719433239.8634312
-0.1,0.08,0.6,1719433239.8634312
-0.18,0.1,0.53,1719433239.8644269
-0.39,0.07,0.45,1719433239.9300883
-0.59,0.07,0.42,1719433239.9300883
-0.8,-0.01,0.4,1719433239.9310906
-0.89,0.01,0.36,1719433239.99685
-0.86,-0.07,0.18,1719433239.99685
-1.11,-0.08,0.02,1719433239.997853
0.46,-0.84,1.38,1719433239.997853
0.6,-0.79,1.54,1719433240.0634282
0.58,-0.88,1.71,1719433240.0634282
0.52,-0.83,1.84,1719433240.0634282
0.39,-0.83,1.57,1719433240.0644283
0.39,-0.71,1.09,1719433240.1303606
0.39,-0.54,0.47,1719433240.1303606
0.47,-0.45,-0.04,1719433240.1303606
0.34,-0.39,-0.13,1719433240.1967723
0.48,-0.37,-0.14,1719433240.1967723
0.35,-0.46,0.07,1719433240.1967723
0.18,-0.56,0.19,1719433240.1977758
0.12,-0.65,0.3,1719433240.2634616
-0.05,-0.75,0.43,1719433240.2634616
-0.09,-0.83,0.26,1719433240.2645583
-0.13,-0.77,-0.25,1719433240.2645583
-0.71,-0.98,0.61,1719433240.3300915
-0.75,-1.06,0.78,1719433240.3300915
-0.52,-1.34,1.44,1719433240.3300915
-0.65,-1.56,1.8,1719433240.3966591
-0.75,-1.89,1.97,1719433240.3966591
-0.85,-1.98,1.58,1719433240.3976595
-0.91,-1.95,1.04,1719433240.3976595
-0.57,-1.69,0.3,1719433240.4634264
-0.11,-1.21,-0.41,1719433240.4634264
0.51,-0.69,-0.93,1719433240.46443
0.44,-0.54,-0.73,1719433240.5300941
0.18,-0.52,0.1,1719433240.5300941
-0.02,-0.56,0.3,1719433240.5311365
-0.06,-0.43,-0.0,1719433240.5311365
-0.14,-0.04,0.51,1719433240.5965893
