X,Y,Z,Timestamp
-0.27,0.01,0.23,1719392928.3270328
-0.22,0.05,0.22,1719392928.328
-0.2,-0.02,0.18,1719392928.328
-0.18,0.04,0.12,1719392928.3286026
-0.3,-0.06,0.31,1719392928.3286026
-0.47,-0.09,0.45,1719392928.3291686
-0.48,-0.16,0.67,1719392928.3291686
-0.32,-0.16,0.82,1719392928.3291686
-0.25,-0.12,0.79,1719392928.3291686
-0.28,-0.11,0.54,1719392928.3291686
-0.3,-0.15,0.66,1719392928.3301718
-0.28,-0.15,0.67,1719392928.3301718
-0.21,-0.1,0.54,1719392928.3301718
-0.21,-0.18,0.62,1719392928.3301718
-0.15,-0.12,0.6,1719392928.3301718
-0.2,-0.15,0.6,1719392928.3311918
-0.23,-0.15,0.59,1719392928.3311918
-0.28,-0.13,0.59,1719392928.3311918
-0.24,-0.11,0.62,1719392928.3311918
-0.28,-0.15,0.57,1719392928.3311918
-0.21,-0.09,0.55,1719392928.3322527
-0.25,-0.1,0.54,1719392928.3322527
-0.24,-0.17,0.54,1719392928.3326488
-0.28,-0.14,0.63,1719392928.3326488
-0.21,-0.15,0.63,1719392928.3326488
-0.2,-0.08,0.54,1719392928.3326488
-0.19,-0.05,0.56,1719392928.3326488
-0.26,-0.08,0.56,1719392928.3337336
-0.21,-0.13,0.56,1719392928.3337927
-0.21,-0.16,0.56,1719392928.3337927
-0.2,-0.08,0.6,1719392928.3337927
-0.23,-0.1,0.59,1719392928.3337927
-0.19,-0.09,0.58,1719392928.334792
-0.21,-0.12,0.62,1719392928.334792
-0.26,-0.18,0.61,1719392928.334792
-0.27,-0.15,0.63,1719392928.334792
-0.18,-0.08,0.56,1719392928.334792
-0.2,-0.16,0.57,1719392928.334792
-0.24,-0.21,0.6,1719392928.3357947
-0.25,-0.14,0.66,1719392928.3357947
-0.23,-0.17,0.64,1719392928.3357947
-0.24,-0.15,0.69,1719392928.3357947
-0.18,-0.15,0.67,1719392928.3357947
-0.06,-0.19,0.68,1719392928.3367968
-0.05,-0.16,0.76,1719392928.3367968
-0.02,-0.12,0.79,1719392928.3367968
0.02,-0.11,0.78,1719392928.3388786
-0.05,-0.1,0.68,1719392928.3388786
-0.08,-0.09,0.7,1719392928.3388786
-0.11,-0.11,0.74,1719392928.4047167
-0.03,-0.04,0.64,1719392928.4055314
-0.0,-0.1,0.51,1719392928.4055314
-0.11,0.02,-0.05,1719392928.4055314
-0.13,-0.05,-0.02,1719392928.4714007
-0.08,-0.12,0.11,1719392928.472294
-0.1,-0.18,0.24,1719392928.472294
-0.07,-0.28,0.23,1719392928.538075
-0.08,-0.34,0.29,1719392928.538836
-0.07,-0.39,0.32,1719392928.538836
-0.05,-0.44,0.41,1719392928.538836
-0.08,-0.57,0.54,1719392928.6047232
-0.07,-0.6,0.73,1719392928.6060946
-0.19,-0.64,0.77,1719392928.6060946
-0.13,-0.67,0.87,1719392928.6714044
0.02,-0.67,0.8,1719392928.6714044
0.08,-0.56,0.52,1719392928.6722584
0.29,-0.87,0.3,1719392928.6722584
0.4,-0.87,0.39,1719392928.73807
0.32,-0.91,0.4,1719392928.739077
0.25,-0.93,0.35,1719392928.7396119
0.27,-0.9,0.32,1719392928.7396119
0.12,-0.83,0.19,1719392928.8047295
0.04,-0.93,0.15,1719392928.805745
-0.0,-1.06,0.12,1719392928.806774
-0.08,-1.03,0.16,1719392928.871406
-0.1,-1.07,0.18,1719392928.8720982
0.05,-1.06,0.11,1719392928.8722339
0.13,-1.06,0.17,1719392928.8722339
0.13,-1.04,0.28,1719392928.937959
0.15,-1.11,0.43,1719392928.9388072
0.12,-1.11,0.54,1719392928.9388654
0.06,-1.18,0.52,1719392928.9388654
-0.42,-0.91,0.23,1719392929.0047402
-0.4,-0.87,0.22,1719392929.0057037
-0.43,-0.84,0.27,1719392929.0057037
-0.29,-0.89,0.49,1719392929.0714056
-0.29,-0.91,0.44,1719392929.0722826
-0.1,-0.83,0.46,1719392929.0722826
0.06,-0.83,0.62,1719392929.0722826
0.1,-0.72,0.59,1719392929.1380737
0.34,-0.64,0.44,1719392929.1389248
0.53,-0.47,0.23,1719392929.1389248
0.77,-0.29,0.02,1719392929.1389248
0.87,-0.2,0.2,1719392929.2059822
0.8,-0.19,0.22,1719392929.2059822
0.82,-0.13,0.15,1719392929.207117
0.54,-0.14,0.18,1719392929.207117
-0.19,0.17,0.01,1719392929.2714226
