X,Y,Z,Timestamp
-0.13,0.15,0.24,1719393225.7555146
-0.09,0.16,0.24,1719393225.7573895
-0.02,0.16,0.44,1719393225.7573895
0.17,0.1,0.65,1719393225.7573895
0.15,0.05,0.7,1719393225.7584069
-0.0,0.14,0.61,1719393225.7584069
-0.08,0.07,0.65,1719393225.7584069
-0.04,0.09,0.75,1719393225.7584069
-0.02,0.13,0.58,1719393225.7584069
-0.03,0.04,0.5,1719393225.7584069
-0.03,0.08,0.54,1719393225.759407
0.11,0.05,0.59,1719393225.759407
0.15,0.09,0.61,1719393225.759407
0.03,0.05,0.58,1719393225.759407
-0.09,0.05,0.54,1719393225.759407
-0.1,0.04,0.59,1719393225.7604072
-0.1,0.15,0.51,1719393225.7604072
0.04,0.07,0.5,1719393225.7604072
-0.0,0.04,0.49,1719393225.7604072
0.03,0.08,0.51,1719393225.7604072
-0.01,0.06,0.49,1719393225.7604072
-0.11,0.08,0.55,1719393225.7616081
-0.05,0.06,0.54,1719393225.7616081
0.01,0.1,0.51,1719393225.7616081
-0.02,0.04,0.53,1719393225.7616081
-0.06,0.07,0.5,1719393225.7616081
0.01,0.03,0.46,1719393225.7616081
0.01,0.06,0.52,1719393225.7626216
-0.04,0.03,0.54,1719393225.7626216
-0.02,0.05,0.54,1719393225.7626216
0.07,0.08,0.57,1719393225.7626216
0.02,0.06,0.6,1719393225.7626216
-0.0,0.01,0.56,1719393225.7636218
0.03,0.1,0.52,1719393225.7636218
0.05,0.09,0.52,1719393225.7636218
-0.05,0.04,0.52,1719393225.7636218
-0.05,-0.01,0.58,1719393225.7636218
-0.05,0.04,0.55,1719393225.7636218
0.02,0.02,0.53,1719393225.7646224
-0.03,0.04,0.55,1719393225.7646224
-0.07,0.12,0.56,1719393225.7646224
-0.02,0.07,0.54,1719393225.7646224
0.03,-0.01,0.52,1719393225.7646224
-0.09,0.05,0.49,1719393225.7646224
-0.03,0.09,0.53,1719393225.7656226
0.03,0.02,0.56,1719393225.7656226
0.03,0.06,0.53,1719393225.7656226
-0.01,0.13,0.48,1719393225.7656226
0.04,0.08,0.54,1719393225.7656226
0.03,0.05,0.6,1719393225.7666228
-0.02,-0.05,0.68,1719393225.7666228
-0.21,-0.09,0.62,1719393225.7666228
-0.31,-0.13,0.56,1719393225.8258424
-0.37,-0.05,0.52,1719393225.8261175
-0.48,-0.05,0.56,1719393225.8261175
-0.46,-0.09,0.57,1719393225.8271196
-0.43,-0.03,0.5,1719393225.8919737
-0.59,-0.02,0.35,1719393225.892974
-0.62,-0.01,0.39,1719393225.893974
-0.49,-0.05,0.4,1719393225.893974
-0.42,0.03,0.53,1719393225.9589615
-0.39,0.09,0.44,1719393225.959962
-0.34,0.02,0.43,1719393225.9616528
-0.31,-0.03,0.58,1719393226.0261223
-0.14,-0.02,0.01,1719393226.0261223
-0.22,-0.09,0.1,1719393226.0261223
-0.24,-0.19,0.06,1719393226.0271246
-0.24,-0.36,0.25,1719393226.0925293
-0.23,-0.49,0.59,1719393226.0925293
-0.15,-0.54,0.9,1719393226.093535
0.03,-0.59,1.02,1719393226.1588335
-0.0,-0.51,0.9,1719393226.1598375
0.07,-0.64,0.82,1719393226.1598375
-0.04,-0.67,0.92,1719393226.1608374
-0.13,-0.62,0.93,1719393226.2261262
-0.13,-0.64,0.81,1719393226.2261262
-0.17,-0.67,0.95,1719393226.2271283
-0.18,-0.62,0.87,1719393226.2271283
-0.59,-0.27,0.22,1719393226.2925322
-0.64,-0.41,0.25,1719393226.2925322
-0.46,-0.39,0.36,1719393226.2935357
-0.25,-0.39,0.34,1719393226.3591912
-0.35,-0.48,0.35,1719393226.3591912
-0.41,-0.46,0.34,1719393226.3591912
-0.44,-0.49,0.37,1719393226.360195
-0.27,-0.51,0.48,1719393226.426133
-0.13,-0.55,0.7,1719393226.426133
0.16,-0.57,0.74,1719393226.426133
0.24,-0.55,0.79,1719393226.4919782
0.37,-0.58,0.87,1719393226.4929774
0.4,-0.54,0.93,1719393226.4939775
0.39,-0.56,0.97,1719393226.4939775
0.42,-0.48,0.89,1719393226.559183
0.08,-0.15,0.55,1719393226.5596879
0.17,-0.26,0.49,1719393226.5596879
0.18,-0.23,0.52,1719393226.5596879
0.15,-0.23,0.54,1719393226.6261349
0.14,-0.2,0.6,1719393226.6261349
0.14,-0.36,0.78,1719393226.6261349
0.2,-0.3,0.93,1719393226.6271372
0.19,-0.32,1.16,1719393226.692527
0.18,-0.42,1.37,1719393226.6930313
0.11,-0.53,1.67,1719393226.6930313
-0.05,-0.59,1.47,1719393226.7591925
