X,Y,Z,Timestamp
-0.61,-2.17,3.3,1719393767.6326687
-0.52,-1.88,3.3,1719393767.6336374
-0.49,-1.36,2.11,1719393767.6336374
-0.37,-0.07,0.36,1719393767.6341581
-0.33,0.02,0.27,1719393767.6341581
-0.32,0.09,0.31,1719393767.6341581
-0.23,0.07,0.35,1719393767.6341581
-0.2,-0.03,0.28,1719393767.6341581
-0.25,0.04,0.36,1719393767.6351662
-0.11,0.02,0.34,1719393767.6351662
-0.18,-0.0,0.32,1719393767.6351662
-0.18,-0.18,0.47,1719393767.6351662
-0.04,-0.18,0.69,1719393767.6351662
-0.07,-0.33,0.95,1719393767.6362312
-0.05,-0.37,1.13,1719393767.6362312
-0.12,-0.31,1.1,1719393767.6362312
-0.13,-0.29,0.94,1719393767.6362312
-0.23,-0.13,0.57,1719393767.6362312
-0.16,-0.19,0.49,1719393767.6372695
-0.12,-0.13,0.54,1719393767.6372695
-0.23,-0.17,0.57,1719393767.6372695
-0.13,-0.15,0.51,1719393767.6372695
-0.21,-0.21,0.57,1719393767.6372695
-0.21,-0.12,0.54,1719393767.6372695
-0.1,-0.21,0.61,1719393767.6382697
-0.1,-0.22,0.76,1719393767.6382697
-0.18,-0.23,0.63,1719393767.6382697
-0.2,-0.16,0.62,1719393767.6382697
-0.28,-0.21,0.59,1719393767.6382697
-0.2,-0.13,0.49,1719393767.63927
-0.21,-0.16,0.6,1719393767.63927
-0.36,-0.01,0.43,1719393767.6772826
-0.23,-0.1,0.55,1719393767.6780233
-0.1,-0.08,0.6,1719393767.6780233
-0.09,-0.07,0.64,1719393767.6780233
-0.08,-0.07,0.68,1719393767.7443693
-0.11,-0.04,0.82,1719393767.7443693
-0.16,-0.18,1.09,1719393767.7443693
-0.14,-0.19,1.08,1719393767.8104892
-0.19,-0.13,0.8,1719393767.8112185
-0.15,-0.0,0.34,1719393767.8112185
-0.05,0.2,0.15,1719393767.8122408
-0.04,0.18,0.3,1719393767.8777785
-0.18,0.14,0.31,1719393767.8779643
-0.23,0.24,0.42,1719393767.8789945
-0.26,0.25,0.24,1719393767.8789945
-0.5,-0.08,-1.0,1719393767.9445167
-0.26,-0.45,-0.86,1719393767.944571
0.13,-0.9,-0.34,1719393767.944571
0.23,-1.17,0.18,1719393768.0104802
0.11,-1.42,0.55,1719393768.0111961
0.08,-1.8,1.28,1719393768.0111961
-0.03,-1.84,2.58,1719393768.0111961
-0.35,-1.59,3.29,1719393768.0772905
-0.26,-1.47,3.3,1719393768.0778708
-0.56,-1.26,2.56,1719393768.0778708
-0.34,-1.07,1.57,1719393768.0778708
-0.3,-1.04,1.33,1719393768.1445034
-0.28,-1.15,1.46,1719393768.1447666
-0.26,-1.18,1.5,1719393768.145765
-0.57,0.41,-1.05,1719393768.211227
-0.48,0.02,-0.96,1719393768.211227
-0.83,-0.18,-1.38,1719393768.211227
-0.64,-0.64,-1.41,1719393768.2122564
-0.12,-1.37,-0.84,1719393768.2777221
0.52,-1.85,-0.18,1719393768.2777736
0.75,-2.14,0.1,1719393768.2777736
0.46,-2.56,0.65,1719393768.343397
-0.33,-2.78,2.14,1719393768.344468
-0.96,-2.57,3.3,1719393768.344468
-1.02,-2.22,3.3,1719393768.3455164
-0.91,-1.92,3.3,1719393768.411201
