X,Y,Z,Timestamp
-0.5,-1.17,1.06,1719393938.6154444
-0.59,-1.25,1.06,1719393938.6166232
-0.56,-1.11,1.05,1719393938.6166232
-0.52,-1.25,1.16,1719393938.6172795
-0.22,0.02,0.53,1719393938.6172795
-0.18,-0.1,0.55,1719393938.6172795
-0.2,-0.08,0.6,1719393938.6183
-0.22,0.02,0.51,1719393938.6183
-0.14,-0.09,0.47,1719393938.6183
-0.19,-0.07,0.59,1719393938.6183
-0.19,-0.03,0.6,1719393938.6183
-0.16,-0.1,0.66,1719393938.6193
-0.12,-0.06,0.66,1719393938.6193
-0.06,-0.11,0.6,1719393938.6193
-0.13,-0.07,0.62,1719393938.6193
-0.06,-0.05,0.58,1719393938.6193
-0.1,-0.09,0.55,1719393938.6203
-0.13,-0.11,0.55,1719393938.6203
-0.15,-0.09,0.59,1719393938.6203
-0.09,-0.07,0.53,1719393938.6203
-0.12,-0.1,0.6,1719393938.6472802
-0.13,-0.09,0.57,1719393938.6472802
-0.16,-0.11,0.55,1719393938.6472802
-0.16,-0.14,0.62,1719393938.6482825
-0.21,-0.15,0.6,1719393938.7135847
-0.13,-0.13,0.62,1719393938.7145848
-0.15,-0.1,0.63,1719393938.7155848
-0.21,-0.05,0.54,1719393938.7155848
-0.11,-0.06,0.56,1719393938.7808056
-0.12,-0.09,0.61,1719393938.7808056
-0.15,-0.09,0.59,1719393938.7818077
-0.13,-0.07,0.67,1719393938.846956
-0.17,0.03,0.46,1719393938.8479605
-0.18,0.07,0.44,1719393938.8479605
-0.18,0.16,0.39,1719393938.8489637
-0.1,0.14,0.44,1719393938.9139543
-0.12,0.08,0.53,1719393938.9139543
-0.15,0.08,0.54,1719393938.9149642
-0.18,0.05,0.49,1719393938.9149642
-0.19,0.15,0.56,1719393938.9808092
-0.23,0.05,0.5,1719393938.9808092
-0.22,0.13,0.52,1719393938.9808092
-0.13,0.11,0.51,1719393939.0472887
-0.08,0.1,0.48,1719393939.0472887
-0.03,0.12,0.52,1719393939.0472887
-0.04,0.2,0.51,1719393939.0482914
-0.11,0.08,0.45,1719393939.1139562
-0.13,0.26,0.35,1719393939.1139562
-1.06,-1.25,0.89,1719393939.114959
-0.28,-0.99,0.17,1719393939.114959
-0.6,-1.06,0.6,1719393939.1808138
-0.44,-1.0,0.67,1719393939.1808138
-0.34,-0.93,0.59,1719393939.1808138
-0.46,-0.88,0.7,1719393939.2474513
-0.52,-1.16,1.12,1719393939.2474513
-0.53,-1.27,1.32,1719393939.2474513
-0.54,-1.29,1.22,1719393939.2484775
-0.42,-1.39,1.01,1719393939.3141031
-0.32,-1.38,0.7,1719393939.3141031
-0.2,-1.35,0.3,1719393939.3141031
-0.18,-1.21,-0.07,1719393939.380244
-0.11,-0.86,-0.42,1719393939.381244
-0.52,-1.09,-0.1,1719393939.381244
-0.02,-1.28,0.49,1719393939.381244
0.16,-1.28,0.82,1719393939.4472785
-0.03,-1.16,0.72,1719393939.4472785
-0.33,-1.28,0.85,1719393939.4472785
-0.45,-1.5,1.48,1719393939.513946
-0.62,-1.47,1.85,1719393939.513946
-0.58,-1.24,1.53,1719393939.513946
-0.54,-1.02,1.03,1719393939.514949
-0.48,-0.97,0.97,1719393939.5808227
