X,Y,Z,Timestamp
0.02,-0.27,0.49,1719394251.7331424
-0.05,-0.23,0.43,1719394251.7341857
-0.03,-0.19,0.41,1719394251.734343
-0.03,-0.26,0.49,1719394251.7349224
-0.12,-0.24,0.52,1719394251.7349224
-0.09,-0.31,0.69,1719394251.7349224
-0.15,-0.39,0.66,1719394251.7349224
-0.12,-0.27,0.53,1719394251.7349224
-0.22,-0.31,0.51,1719394251.7359457
-0.18,-0.23,0.49,1719394251.7359457
-0.23,-0.22,0.52,1719394251.7359457
-0.13,-0.18,0.56,1719394251.7359457
-0.18,-0.21,0.5,1719394251.7359457
-0.21,-0.27,0.55,1719394251.7369456
-0.19,-0.22,0.44,1719394251.7369456
-0.12,-0.28,0.42,1719394251.7369456
-0.15,-0.29,0.53,1719394251.7369456
-0.13,-0.32,0.54,1719394251.7369456
-0.18,-0.28,0.55,1719394251.7369456
-0.19,-0.26,0.57,1719394251.737946
0.09,-0.25,0.35,1719394251.737946
0.05,-0.4,0.48,1719394251.737946
0.1,-0.38,0.47,1719394251.737946
0.1,-0.41,0.39,1719394251.737946
-0.03,-0.41,0.46,1719394251.7389462
0.09,-0.44,0.35,1719394251.7391899
0.08,-0.35,0.39,1719394251.7392418
-0.07,-0.52,0.48,1719394251.7392418
0.02,-0.54,0.64,1719394251.7392418
-0.03,-0.64,0.69,1719394251.7392418
-0.05,-0.62,0.88,1719394251.7392418
-0.13,-0.64,0.81,1719394251.740241
-0.32,-0.64,0.8,1719394251.740241
-0.23,-0.69,0.69,1719394251.740241
-0.34,-0.7,0.64,1719394251.740241
-0.28,-0.51,0.37,1719394251.740241
-0.23,-0.42,0.33,1719394251.741241
-0.22,-0.42,0.41,1719394251.741241
-0.26,-0.32,0.47,1719394251.741241
-0.28,-0.34,0.63,1719394251.741241
-0.23,-0.34,0.65,1719394251.741241
-0.16,-0.34,0.57,1719394251.7422414
-0.21,-0.2,0.37,1719394251.7422414
-0.47,-0.22,0.13,1719394251.7422414
-0.59,-0.11,0.18,1719394251.7422414
-0.63,-0.2,0.15,1719394251.7422414
-0.69,-0.08,0.23,1719394251.7422414
-0.67,-0.11,0.26,1719394251.7432418
-0.65,-0.17,0.3,1719394251.7432418
-0.14,-0.11,0.44,1719394251.7432418
-0.15,-0.13,0.53,1719394251.7432418
-0.24,-0.08,0.45,1719394251.7432418
-0.38,-0.1,0.47,1719394251.744242
-0.34,-0.15,0.48,1719394251.744242
-0.26,-0.08,0.52,1719394251.744242
-0.15,-0.06,0.46,1719394251.744242
-0.22,0.02,0.3,1719394251.744242
-0.03,0.06,0.21,1719394251.7453012
-0.01,0.13,0.14,1719394251.7453012
0.07,0.02,0.15,1719394251.7453012
0.1,0.1,0.08,1719394251.7453012
0.12,0.03,0.18,1719394251.7453012
0.23,0.01,0.23,1719394251.7453012
0.15,-0.09,0.38,1719394251.7463138
0.18,-0.21,0.59,1719394251.7463138
-0.43,-0.28,0.38,1719394251.7463138
-0.64,-0.37,0.22,1719394251.7463138
-0.94,-0.42,0.18,1719394251.7463138
-0.9,-0.41,0.25,1719394251.747314
-0.9,-0.35,0.24,1719394251.747314
-0.83,-0.43,0.39,1719394251.747314
-0.66,-0.44,0.48,1719394251.747314
-0.57,-0.44,0.45,1719394251.747314
-0.43,-0.49,0.57,1719394251.7483144
-0.4,-0.47,0.72,1719394251.7483144
-0.28,-0.46,0.72,1719394251.7483144
-0.28,-0.58,0.76,1719394251.7483144
-0.22,-0.61,0.88,1719394251.7483144
-0.21,-0.59,0.93,1719394251.7483144
-0.03,-0.39,0.58,1719394251.7493143
-0.03,-0.46,0.59,1719394251.7493143
0.08,-0.37,0.76,1719394251.7493143
0.15,-0.41,0.82,1719394251.7493143
0.15,-0.34,0.72,1719394251.7493143
0.14,-0.31,0.72,1719394251.7503145
0.15,-0.34,0.6,1719394251.7503145
0.13,-0.34,0.66,1719394251.7503145
0.13,-0.39,0.63,1719394251.7503145
0.04,-0.24,0.57,1719394251.7503145
0.04,-0.27,0.54,1719394251.7513065
-0.02,-0.33,0.49,1719394251.7513065
-0.1,-0.25,0.47,1719394251.7513065
-0.08,-0.21,0.58,1719394251.7513065
-0.11,-0.23,0.47,1719394251.7513065
-0.16,-0.37,0.67,1719394251.7513065
-0.17,-0.4,0.65,1719394251.7523446
-0.13,-0.46,0.6,1719394251.7523446
-0.2,-0.42,0.61,1719394251.7523446
-0.22,-0.46,0.66,1719394251.7523446
-0.28,-0.49,0.75,1719394251.7523446
-0.29,-0.4,0.8,1719394251.7533448
-0.25,-0.44,0.65,1719394251.7533448
-0.25,-0.4,0.59,1719394251.7533448
-0.19,-0.45,0.62,1719394251.7533448
-0.16,-0.41,0.6,1719394251.7533448
-0.16,-0.44,0.63,1719394251.754345
-0.23,-0.34,0.58,1719394251.754345
-0.3,-0.33,0.68,1719394251.754345
-0.24,-0.25,0.64,1719394251.754345
-0.23,-0.2,0.33,1719394251.754345
-0.13,-0.03,0.08,1719394251.754345
-0.19,0.02,-0.05,1719394251.755345
-0.19,-0.02,0.1,1719394251.755345
-0.28,0.08,0.15,1719394251.755345
-0.27,0.1,0.19,1719394251.755345
-0.28,0.09,0.14,1719394251.755345
-0.28,0.04,0.22,1719394251.7563453
-0.34,0.02,0.28,1719394251.7563453
-0.42,-0.01,0.39,1719394251.7563453
-0.29,-0.03,0.44,1719394251.7563453
-0.35,0.08,0.57,1719394251.7563453
-0.33,0.05,0.4,1719394251.7573788
-0.33,0.06,0.43,1719394251.7574303
-0.34,-0.06,0.6,1719394251.7574303
-0.35,-0.1,0.72,1719394251.7574303
-0.32,-0.12,0.67,1719394251.7574303
-0.3,-0.1,0.61,1719394251.7574303
