X,Y,Z,Timestamp
-0.2,0.03,0.59,1719432027.609748
-0.08,-0.15,0.76,1719432027.6107473
-0.24,-0.11,0.87,1719432027.6107473
-0.21,-0.1,0.78,1719432027.6107473
-0.24,-0.02,0.72,1719432027.6107473
-0.22,-0.07,0.66,1719432027.6117475
-0.33,-0.03,0.6,1719432027.6117475
-0.28,-0.05,0.54,1719432027.6117475
-0.33,-0.03,0.58,1719432027.6117475
-0.21,-0.1,0.64,1719432027.6217494
-0.15,-0.01,0.68,1719432027.6217494
-0.18,-0.1,0.75,1719432027.6227646
-0.27,-0.06,0.65,1719432027.6227646
-0.47,-0.03,0.59,1719432027.688929
-0.52,0.02,0.56,1719432027.689929
-0.4,-0.08,0.42,1719432027.689929
-0.44,-0.01,0.4,1719432027.689929
-0.43,-0.05,0.45,1719432027.755033
-0.38,0.05,0.51,1719432027.7560332
-0.44,-0.01,0.4,1719432027.7560332
-0.5,-0.11,0.59,1719432027.8216386
-0.37,-0.08,0.66,1719432027.8216386
-0.4,-0.12,0.55,1719432027.8226385
-0.51,0.02,0.52,1719432027.8226385
-0.55,-0.04,0.49,1719432027.8889303
-0.53,-0.04,0.34,1719432027.8889303
-0.66,0.03,0.23,1719432027.889929
0.05,-0.03,0.1,1719432027.889929
0.17,-0.11,0.03,1719432027.9559824
0.43,-0.08,0.13,1719432027.9569814
0.64,-0.2,0.11,1719432027.9569814
0.55,-0.28,0.5,1719432028.021757
0.35,-0.34,0.62,1719432028.021757
0.33,-0.37,0.54,1719432028.0227628
0.04,-0.4,0.45,1719432028.0227628
0.03,-0.41,0.36,1719432028.088957
0.08,-0.5,0.36,1719432028.088957
0.07,-0.6,0.35,1719432028.088957
0.04,-0.6,0.4,1719432028.088957
-0.1,-0.66,0.6,1719432028.1551316
-0.04,-0.75,0.69,1719432028.1559355
0.09,-0.77,0.82,1719432028.1559355
0.03,-0.92,1.02,1719432028.2219565
-0.58,-1.02,0.99,1719432028.222959
-0.59,-1.07,1.17,1719432028.222959
-0.67,-1.05,1.09,1719432028.222959
-0.64,-0.99,0.74,1719432028.288956
-0.61,-0.95,0.53,1719432028.288956
-0.64,-0.83,0.27,1719432028.289956
-0.77,-0.7,0.18,1719432028.289956
-0.97,-0.72,0.13,1719432028.3550823
-0.83,-0.75,0.26,1719432028.3559477
-0.9,-0.62,0.19,1719432028.3559477
-0.72,-0.52,0.07,1719432028.421526
-0.42,-0.49,-0.09,1719432028.4225311
-0.24,-0.31,-0.07,1719432028.4225311
-0.05,-0.02,0.68,1719432028.4225311
-0.03,-0.09,0.69,1719432028.4889393
-0.13,-0.16,0.8,1719432028.4889393
-0.12,-0.03,0.73,1719432028.4904125
-0.24,-0.05,0.58,1719432028.5551255
-0.23,-0.04,0.54,1719432028.5559416
-0.28,0.03,0.46,1719432028.5559416
-0.28,-0.05,0.47,1719432028.5559416
-0.33,-0.01,0.43,1719432028.6221116
