X,Y,Z,Timestamp
-0.26,-0.07,0.8,1719432764.5650032
-0.09,0.03,1.01,1719432764.5650032
-0.25,-0.04,0.77,1719432764.5661771
-0.49,-0.04,0.81,1719432764.5661771
-0.47,-0.03,0.76,1719432764.5661771
-0.51,-0.03,0.49,1719432764.5661771
-0.41,0.02,0.44,1719432764.5671797
-0.49,-0.05,0.54,1719432764.5671797
-0.24,0.03,0.59,1719432764.5671797
-0.13,-0.03,0.58,1719432764.5671797
-0.22,-0.0,0.58,1719432764.5982518
-0.07,-0.05,0.89,1719432764.5982518
0.03,0.14,0.75,1719432764.5982518
-0.22,0.05,0.53,1719432764.5993385
-0.49,-0.0,0.3,1719432764.6642287
-0.78,-0.11,0.32,1719432764.665237
-0.92,-0.02,0.16,1719432764.665237
-0.93,-0.05,0.11,1719432764.7316217
-0.92,-0.08,0.15,1719432764.7316217
0.76,0.21,0.68,1719432764.7316217
0.62,0.17,1.07,1719432764.7326257
0.45,0.14,0.93,1719432764.7974048
0.23,0.2,0.61,1719432764.7974048
0.22,0.23,0.61,1719432764.7984104
0.18,0.25,0.68,1719432764.7984104
0.13,0.19,0.61,1719432764.8636448
0.09,0.15,0.53,1719432764.8646472
-0.0,0.2,0.58,1719432764.8646472
-0.07,0.22,0.44,1719432764.8646472
-0.07,0.26,0.35,1719432764.9312503
-0.1,0.17,0.17,1719432764.9312503
0.1,0.22,0.07,1719432764.9322538
0.05,0.24,-0.15,1719432764.9322538
-0.03,0.29,-0.17,1719432764.997627
-0.22,0.28,-0.47,1719432764.997627
-0.31,0.21,-0.64,1719432764.9986322
0.08,-0.95,1.78,1719432764.9986322
-0.04,-0.95,2.04,1719432765.0645666
0.05,-1.01,2.4,1719432765.0655706
0.01,-1.02,2.23,1719432765.0655706
0.19,-0.87,1.67,1719432765.1305873
0.2,-0.86,1.0,1719432765.131586
0.27,-0.72,0.64,1719432765.131586
0.2,-0.7,0.54,1719432765.131586
0.1,-0.59,0.29,1719432765.1975393
-0.02,-0.59,0.07,1719432765.1985395
-0.13,-0.49,0.12,1719432765.1985395
-0.1,-0.53,0.21,1719432765.1985395
-0.18,-0.49,0.42,1719432765.2644858
-0.09,-0.49,0.49,1719432765.2644858
-0.08,-0.51,0.41,1719432765.2654862
-0.64,-1.01,1.5,1719432765.3306217
-0.41,-1.14,1.94,1719432765.331627
-0.27,-1.31,1.71,1719432765.331627
0.02,-1.18,0.86,1719432765.3326275
0.21,-0.88,0.07,1719432765.3979845
0.33,-0.68,-0.15,1719432765.3979845
0.32,-0.75,0.4,1719432765.3979845
0.08,-0.83,0.35,1719432765.464286
-0.42,-0.59,-0.19,1719432765.464839
-0.72,-0.4,-0.71,1719432765.464839
-0.55,-0.13,-0.97,1719432765.4658408
-0.03,-0.03,-0.93,1719432765.531525
-0.09,0.19,-1.06,1719432765.531525
-0.42,0.02,-0.76,1719432765.531525
-0.31,-0.06,0.49,1719432765.5976179
