X,Y,Z,Timestamp
0.29,0.27,0.65,1719433431.1718943
0.13,0.32,0.77,1719433431.1728942
0.1,0.28,0.85,1719433431.1728942
-0.0,0.22,0.86,1719433431.1738944
-0.08,0.24,0.64,1719433431.1738944
-0.21,0.19,0.49,1719433431.1738944
-0.22,0.24,0.51,1719433431.1738944
-0.22,0.18,0.54,1719433431.1748946
-0.34,0.19,0.59,1719433431.1748946
-0.26,0.12,0.78,1719433431.1748946
-0.37,0.31,0.39,1719433431.1758947
-0.39,0.56,0.39,1719433431.1974037
-0.32,0.44,0.31,1719433431.1974037
-0.42,0.36,0.24,1719433431.1984043
-0.68,0.31,0.16,1719433431.263425
-0.78,0.28,-0.14,1719433431.2644253
-0.74,0.04,-0.04,1719433431.2644253
-0.56,-0.01,0.05,1719433431.2654257
-0.29,-0.16,0.1,1719433431.3308902
-0.24,-0.28,0.09,1719433431.3308902
0.69,-0.53,1.78,1719433431.33191
0.64,-0.44,1.27,1719433431.33191
0.54,-0.18,1.03,1719433431.397406
0.44,-0.11,0.71,1719433431.397406
0.3,-0.5,0.1,1719433431.3984053
0.41,-0.42,0.08,1719433431.4635882
0.31,-0.39,0.03,1719433431.4644237
0.45,-0.39,-0.03,1719433431.4644237
0.45,-0.52,-0.02,1719433431.4654267
0.34,-0.52,0.12,1719433431.5307415
0.26,-0.66,0.37,1719433431.5307415
0.21,-0.74,0.49,1719433431.5317416
0.15,-0.83,0.37,1719433431.5317416
0.15,-0.86,0.24,1719433431.5974045
0.08,-0.88,0.21,1719433431.5974045
-0.29,-0.75,0.8,1719433431.5974045
-0.41,-0.94,1.2,1719433431.663852
-0.33,-1.05,1.65,1719433431.663852
-0.35,-1.4,1.93,1719433431.663852
-0.5,-1.46,1.84,1719433431.6648521
-0.6,-1.6,1.67,1719433431.730306
-0.6,-1.56,1.38,1719433431.7313085
-0.51,-1.55,0.78,1719433431.7313085
-0.22,-1.13,0.07,1719433431.7313085
0.17,-0.74,-0.34,1719433431.7979345
0.33,-0.68,-0.09,1719433431.7979345
0.13,-0.69,0.3,1719433431.799065
0.2,-0.57,0.34,1719433431.8634088
0.1,-0.46,-0.23,1719433431.8644097
-0.13,-0.23,-0.63,1719433431.8644097
-0.12,0.21,0.53,1719433431.8644097
-0.06,0.22,0.44,1719433431.93021
0.08,0.18,0.41,1719433431.9312108
0.1,0.21,0.32,1719433431.9312108
-0.0,0.19,0.35,1719433431.9312108
-0.09,0.14,0.42,1719433431.9974124
