X,Y,Z,Timestamp
0.07,-0.83,0.74,1719400736.9073162
0.28,-0.65,0.82,1719400736.9082015
0.7,-0.57,0.75,1719400736.9082015
0.95,-0.56,0.65,1719400736.9087434
0.89,-0.55,0.63,1719400736.9087434
0.43,-0.59,0.39,1719400736.9087434
0.14,-0.5,0.15,1719400736.9087434
-0.05,-0.41,0.02,1719400736.9087434
-1.01,-0.39,0.59,1719400736.909774
-0.91,-0.49,0.7,1719400736.909774
-0.55,-0.46,0.63,1719400736.909774
-0.46,-0.3,0.54,1719400736.909774
-0.12,-0.28,0.48,1719400736.909774
0.13,-0.21,0.54,1719400736.9107742
0.03,-0.25,0.49,1719400736.9107742
-0.36,-0.37,0.68,1719400736.9107742
-0.63,-0.49,0.82,1719400736.9107742
-0.58,-0.41,0.82,1719400736.9107742
-0.52,-0.41,0.82,1719400736.9107742
-0.5,-0.45,0.82,1719400736.9117744
-0.49,-0.39,0.74,1719400736.9117744
-0.31,-0.27,0.64,1719400736.9292312
-0.2,-0.23,0.58,1719400736.9292312
-0.21,-0.2,0.57,1719400736.9292312
-0.23,-0.16,0.57,1719400736.930661
-0.34,-0.19,0.54,1719400736.9959004
-0.29,-0.16,0.54,1719400736.9959004
-0.18,-0.2,0.63,1719400736.996904
-0.22,-0.23,0.64,1719400737.062589
-0.18,-0.19,0.57,1719400737.062589
-0.26,-0.19,0.44,1719400737.0636168
-0.19,-0.22,0.47,1719400737.0643337
-0.24,-0.22,0.53,1719400737.128785
-0.22,-0.28,0.58,1719400737.1307771
-0.25,-0.18,0.54,1719400737.1317797
-0.25,-0.26,0.54,1719400737.1959062
-0.21,-0.34,0.59,1719400737.1959062
-0.24,-0.23,0.71,1719400737.1959062
-0.21,-0.21,0.62,1719400737.1969104
-0.21,-0.27,0.61,1719400737.2625675
-0.14,-0.18,0.55,1719400737.2625675
-0.12,-0.14,0.48,1719400737.2639842
-0.19,-0.15,0.57,1719400737.264182
-0.18,-0.2,0.68,1719400737.3292246
-0.23,-0.23,0.7,1719400737.3302295
-0.23,-0.22,0.61,1719400737.330915
-0.27,-0.32,0.62,1719400737.3958938
-0.22,-0.28,0.72,1719400737.3958938
-0.31,-0.24,0.67,1719400737.3968973
-0.23,-0.24,0.64,1719400737.3976128
0.43,0.1,0.38,1719400737.4628234
0.34,0.11,0.3,1719400737.4628234
0.18,0.14,0.14,1719400737.4638293
0.03,0.04,0.03,1719400737.4640903
-0.17,0.1,-0.11,1719400737.52925
-0.34,0.11,-0.36,1719400737.530265
-0.19,-0.02,-0.47,1719400737.530265
-0.19,-0.07,-0.4,1719400737.595886
-0.33,-0.35,-0.23,1719400737.5968893
-0.55,-0.63,-0.02,1719400737.5974061
-0.65,-0.68,0.34,1719400737.5974061
-0.54,-0.83,0.44,1719400737.6625671
-0.67,-0.83,0.27,1719400737.6635728
-0.59,-0.92,0.21,1719400737.6640809
-0.55,-0.89,0.08,1719400737.7292292
0.53,-1.06,0.85,1719400737.7292292
0.45,-1.06,0.78,1719400737.7308025
0.03,-0.94,0.72,1719400737.730853
-0.14,-0.99,0.67,1719400737.7959044
-0.23,-1.06,0.6,1719400737.7959044
-0.23,-1.1,0.68,1719400737.7969081
-0.45,-1.12,0.64,1719400737.862571
-0.67,-1.25,0.86,1719400737.862571
-0.69,-1.17,0.72,1719400737.864118
-0.44,-1.08,0.51,1719400737.864118
0.15,-0.85,0.31,1719400737.9292345
0.9,-0.72,0.53,1719400737.9292345
1.6,-0.59,0.55,1719400737.9302878
1.87,-0.71,0.97,1719400737.9307675
-0.01,0.3,-0.73,1719400737.9959035
