X,Y,Z,Timestamp
-0.18,0.23,-0.83,1719401439.134011
-0.46,0.03,0.04,1719401439.1350121
-0.44,0.06,0.33,1719401439.1350121
-0.23,-0.04,0.64,1719401439.1350121
-0.16,0.03,0.64,1719401439.1358767
-0.09,0.09,0.32,1719401439.1358767
-0.01,0.1,0.35,1719401439.1358767
-0.06,0.02,0.5,1719401439.1358767
-0.28,-0.06,0.49,1719401439.1358767
-0.4,0.05,0.15,1719401439.1368792
-0.43,0.07,0.23,1719401439.1368792
-0.4,-0.01,0.27,1719401439.1368792
-0.4,-0.01,0.41,1719401439.1368792
-0.28,-0.11,0.67,1719401439.1381404
-0.29,-0.03,0.6,1719401439.1381404
-0.26,-0.06,0.57,1719401439.1381404
-0.23,-0.01,0.46,1719401439.13916
-0.28,-0.11,0.47,1719401439.1629834
-0.27,-0.07,0.62,1719401439.1640606
-0.2,-0.09,0.48,1719401439.1640606
-0.23,-0.13,0.6,1719401439.1640606
-0.23,-0.13,0.55,1719401439.2302325
-0.11,-0.08,0.64,1719401439.2302325
-0.11,-0.1,0.57,1719401439.2302325
-0.19,-0.05,0.6,1719401439.2967618
-0.12,-0.02,0.47,1719401439.2967618
-0.1,-0.01,0.57,1719401439.2967618
-0.26,-0.09,0.63,1719401439.297766
-0.25,-0.13,0.69,1719401439.3630881
-0.18,-0.1,0.56,1719401439.3641298
-0.16,-0.08,0.58,1719401439.3641298
-0.15,-0.03,0.59,1719401439.3641298
-0.14,-0.08,0.57,1719401439.4300883
-0.12,-0.03,0.58,1719401439.4300883
-0.03,0.06,0.59,1719401439.4310923
0.05,-0.08,0.67,1719401439.4967544
0.3,0.09,0.76,1719401439.4967544
0.62,0.01,0.97,1719401439.4967544
0.73,-0.04,1.09,1719401439.4977582
0.98,-0.01,1.02,1719401439.5635657
0.77,-0.12,1.0,1719401439.5635657
0.18,-0.08,0.52,1719401439.5635657
-0.41,-0.12,0.44,1719401439.564566
-0.56,-0.16,0.49,1719401439.6296115
-0.51,-0.15,0.49,1719401439.6319733
-0.46,-0.11,0.47,1719401439.6329973
-0.28,-0.13,0.63,1719401439.6967542
-0.23,-0.1,0.56,1719401439.6967542
-0.22,-0.08,0.58,1719401439.6967542
-0.28,-0.03,0.5,1719401439.697757
-0.21,-0.07,0.54,1719401439.764921
0.02,-0.05,0.32,1719401439.7650707
-0.1,0.04,0.05,1719401439.7660723
-0.34,0.08,-0.61,1719401439.7660723
-0.7,0.13,-1.14,1719401439.8314898
-0.75,-0.24,-1.2,1719401439.8325198
-0.45,-0.66,-0.17,1719401439.8325198
-0.12,-0.56,0.74,1719401439.8967483
-0.13,-0.43,0.7,1719401439.8977518
-0.04,-0.41,0.65,1719401439.8977518
0.02,-0.42,0.58,1719401439.8977518
-0.13,-0.31,0.43,1719401439.964683
-0.17,-0.35,0.51,1719401439.964683
-0.25,-0.41,0.39,1719401439.9657059
-0.26,-0.39,0.43,1719401440.0298657
-0.46,-0.55,0.54,1719401440.0308688
-0.56,-0.59,0.71,1719401440.0308688
-0.72,-0.75,0.82,1719401440.0318685
-1.06,-1.03,1.32,1719401440.0985882
-1.32,-1.34,1.75,1719401440.0995898
0.09,-0.21,0.72,1719401440.0995898
0.05,-0.33,0.79,1719401440.163404
-0.0,-0.33,0.58,1719401440.1641326
-0.07,-0.32,0.59,1719401440.1641326
-0.11,-0.42,0.58,1719401440.1641326
-0.08,-0.4,0.67,1719401440.2302616
0.05,-0.4,0.74,1719401440.2302616
-0.07,-0.43,0.54,1719401440.2302616
-0.19,-0.44,0.53,1719401440.231262
-0.21,-0.42,0.51,1719401440.296753
-0.08,-0.29,0.51,1719401440.296753
-0.13,-0.39,0.54,1719401440.297757
-0.18,-0.39,0.62,1719401440.3634152
-0.22,-0.32,0.55,1719401440.3634152
-0.22,-0.29,0.49,1719401440.3641317
0.1,-0.58,1.06,1719401440.3641317
0.03,-0.26,0.63,1719401440.430215
0.04,-0.09,-0.06,1719401440.430215
-0.1,0.02,-0.19,1719401440.4312148
-0.33,-0.0,0.1,1719401440.4966085
-0.3,-0.12,0.21,1719401440.4966085
-0.19,-0.06,0.3,1719401440.4976103
-0.19,-0.04,0.39,1719401440.4976103
-0.28,-0.06,0.33,1719401440.563494
