X,Y,Z,Timestamp
-0.59,-0.03,-0.18,1719401633.4062872
-0.49,0.02,-0.18,1719401633.4062872
-0.28,-0.0,-0.13,1719401633.4062872
-0.21,-0.05,0.03,1719401633.4074056
-0.32,-0.01,0.17,1719401633.4074056
-0.56,-0.1,0.3,1719401633.4074056
-0.65,-0.09,0.26,1719401633.4074056
-0.66,-0.04,0.17,1719401633.4074056
-0.62,-0.2,0.27,1719401633.4083068
-0.54,-0.09,0.44,1719401633.4083068
-0.32,-0.1,0.56,1719401633.4083068
-0.51,-0.08,0.48,1719401633.4093983
-0.44,-0.1,0.44,1719401633.4093983
-0.31,-0.13,0.44,1719401633.4093983
-0.42,-0.01,0.39,1719401633.4105968
-0.39,-0.05,0.44,1719401633.410689
-0.49,-0.15,0.4,1719401633.4231288
-0.42,-0.13,0.46,1719401633.4233212
-0.15,-0.1,0.63,1719401633.4233212
-0.19,-0.07,0.63,1719401633.4233212
-0.38,-0.14,0.46,1719401633.489931
-0.49,-0.13,0.53,1719401633.489931
-0.46,-0.05,0.58,1719401633.4909625
-0.48,-0.16,0.59,1719401633.4909625
-0.4,-0.18,0.59,1719401633.5562613
-0.39,-0.1,0.53,1719401633.5562613
-0.41,-0.19,0.51,1719401633.5572784
-0.34,-0.23,0.6,1719401633.6227522
-0.41,-0.18,0.56,1719401633.6237843
-0.34,-0.16,0.53,1719401633.6237843
-0.39,-0.11,0.52,1719401633.6247842
-0.33,-0.13,0.45,1719401633.6899745
-0.39,-0.12,0.58,1719401633.6909935
-0.33,-0.14,0.62,1719401633.6909935
-0.29,-0.09,0.56,1719401633.7564049
-0.27,-0.16,0.58,1719401633.7564049
-0.41,-0.18,0.62,1719401633.7564049
-0.34,-0.05,0.56,1719401633.7574074
-0.2,0.08,0.37,1719401633.8231213
-0.13,0.08,0.24,1719401633.8231213
-0.04,0.23,0.02,1719401633.8241603
0.08,0.25,-0.09,1719401633.8241603
0.33,0.36,-0.47,1719401633.89004
0.73,0.62,-1.41,1719401633.8910449
0.63,0.18,-1.59,1719401633.8910449
0.41,-0.21,-0.83,1719401633.956977
0.31,-0.89,0.37,1719401633.956977
0.3,-1.08,1.06,1719401633.9579823
0.1,-1.16,1.13,1719401633.9579823
-0.48,-1.17,1.56,1719401634.0231717
-0.92,-1.4,2.5,1719401634.0231717
-0.97,-1.28,2.05,1719401634.024203
-0.7,-0.86,1.12,1719401634.024203
-0.35,-0.39,0.16,1719401634.0895586
-0.54,-0.56,0.34,1719401634.090578
-0.73,-0.75,0.56,1719401634.090578
-1.17,-1.08,0.63,1719401634.1563008
-1.68,-1.31,0.69,1719401634.1573212
-1.78,-1.28,0.6,1719401634.1573212
-1.26,-1.39,0.49,1719401634.1573212
-0.56,-1.39,0.51,1719401634.2251997
0.18,-0.92,0.23,1719401634.2251997
1.08,-0.72,0.31,1719401634.2262316
1.85,-0.34,0.34,1719401634.2895696
1.46,-0.33,0.55,1719401634.291334
0.58,-0.24,0.64,1719401634.2923565
0.26,-0.4,0.78,1719401634.2923565
0.19,-0.42,0.94,1719401634.3564005
-0.02,-0.41,0.46,1719401634.3564005
-0.06,-0.29,0.39,1719401634.3564005
-0.13,-0.44,0.34,1719401634.35742
-0.07,-0.39,0.54,1719401634.4251497
0.09,-0.52,0.59,1719401634.4261832
0.07,-0.49,0.82,1719401634.4261832
0.08,-0.56,1.1,1719401634.4895437
-0.01,-0.75,1.75,1719401634.491323
-0.05,-1.05,2.07,1719401634.4923446
0.02,-1.16,2.5,1719401634.4923446
0.49,-1.29,2.74,1719401634.5568817
0.71,-1.48,2.15,1719401634.5582237
0.28,-1.43,1.04,1719401634.559242
-0.31,-1.06,-0.26,1719401634.559242
-0.85,-0.52,-1.48,1719401634.623044
