X,Y,Z,Timestamp
-0.42,-0.66,0.45,1719401813.4963214
-0.41,-0.64,0.55,1719401813.497274
-0.48,-0.62,0.65,1719401813.497274
-0.36,-0.52,0.65,1719401813.4982944
-0.48,-0.44,0.58,1719401813.4982944
-0.39,-0.56,0.59,1719401813.4982944
0.05,-0.59,0.61,1719401813.4982944
-0.23,-0.47,0.62,1719401813.4982944
-0.24,-0.39,0.48,1719401813.4982944
-0.39,-0.39,0.24,1719401813.4992943
-0.21,0.03,0.52,1719401813.4992943
-0.15,-0.07,0.59,1719401813.4992943
-0.27,0.07,0.47,1719401813.4992943
-0.27,-0.05,0.48,1719401813.4992943
-0.19,-0.08,0.41,1719401813.500294
-0.22,-0.07,0.47,1719401813.500294
-0.25,-0.13,0.53,1719401813.500294
-0.24,-0.16,0.69,1719401813.500294
-0.16,-0.13,0.59,1719401813.500294
-0.16,-0.18,0.62,1719401813.5012946
-0.14,-0.1,0.68,1719401813.5012946
-0.16,-0.15,0.64,1719401813.5012946
-0.16,-0.18,0.76,1719401813.5012946
-0.12,-0.17,0.69,1719401813.5012946
-0.18,-0.13,0.65,1719401813.5022318
-0.21,-0.08,0.67,1719401813.5022318
-0.22,-0.12,0.59,1719401813.5022318
-0.18,-0.12,0.64,1719401813.5022318
-0.28,-0.17,0.72,1719401813.5022318
-0.24,-0.17,0.6,1719401813.5032468
-0.27,-0.06,0.66,1719401813.5032468
-0.25,-0.07,0.59,1719401813.5032468
-0.27,-0.13,0.61,1719401813.5161753
-0.18,-0.0,0.56,1719401813.5161753
-0.22,-0.15,0.5,1719401813.5161753
-0.25,-0.08,0.59,1719401813.5828934
-0.28,-0.15,0.6,1719401813.5828934
-0.18,-0.11,0.57,1719401813.5828934
-0.21,-0.13,0.57,1719401813.5841327
-0.16,-0.11,0.55,1719401813.649511
-0.23,-0.07,0.67,1719401813.649511
-0.19,-0.1,0.61,1719401813.6505136
-0.23,-0.09,0.61,1719401813.7154958
-0.16,-0.18,0.78,1719401813.7164986
-0.25,-0.13,0.61,1719401813.7175028
-0.15,-0.15,0.67,1719401813.7175028
-0.28,-0.05,0.62,1719401813.7828918
-0.24,-0.04,0.51,1719401813.7828918
-0.21,-0.16,0.75,1719401813.7828918
-0.16,-0.21,0.9,1719401813.8495302
-0.17,-0.13,0.78,1719401813.8495302
-0.21,-0.05,0.47,1719401813.8495302
-0.52,-0.98,0.65,1719401813.8505337
-0.38,-0.92,0.64,1719401813.9160845
-0.4,-0.83,0.8,1719401813.917085
-0.29,-0.94,0.93,1719401813.917085
-0.47,-0.83,1.03,1719401813.9828913
-0.54,-0.73,1.17,1719401813.9828913
-0.41,-0.85,1.16,1719401813.9828913
-0.39,-0.94,1.09,1719401813.984133
-0.49,-0.85,1.01,1719401814.049523
-0.48,-1.03,0.91,1719401814.049523
-0.21,-1.23,1.01,1719401814.049523
0.46,-1.21,0.7,1719401814.0505261
-0.12,-0.85,-0.53,1719401814.1161861
-0.08,0.17,-1.61,1719401814.1161861
0.75,-3.3,1.4,1719401814.1171887
-2.17,-2.57,3.3,1719401814.182891
1.02,-1.26,1.84,1719401814.182891
-0.59,0.3,-0.72,1719401814.182891
-0.54,-0.61,0.61,1719401814.184132
-0.11,-0.63,0.62,1719401814.2495098
-0.45,-0.95,0.88,1719401814.2505124
-0.38,-0.96,0.72,1719401814.2505124
-0.4,-0.9,0.68,1719401814.3161795
