X,Y,Z,Timestamp
-0.16,-0.5,0.49,1719402211.6480558
-0.09,-0.47,0.52,1719402211.6480558
-0.12,-0.51,0.57,1719402211.6480558
-0.28,-0.53,0.52,1719402211.6480558
-0.29,-0.58,0.41,1719402211.6490743
-0.26,-0.57,0.44,1719402211.6490743
-0.24,-0.6,0.49,1719402211.6490743
-0.19,-0.51,0.43,1719402211.6490743
-0.26,-0.58,0.59,1719402211.6490743
-0.51,-0.54,-0.63,1719402211.6500747
-0.46,-0.26,-0.57,1719402211.6500747
-0.36,-0.18,-0.18,1719402211.6500747
-0.38,-0.28,0.33,1719402211.6500747
-0.38,-0.32,0.81,1719402211.6500747
-0.33,-0.25,0.9,1719402211.651075
-0.22,-0.27,0.79,1719402211.651075
-0.18,-0.11,0.29,1719402211.651075
-0.21,0.03,-0.18,1719402211.651075
-0.28,0.13,-0.26,1719402211.651075
-0.3,0.26,-0.28,1719402211.652075
-0.37,0.27,-0.17,1719402211.652075
-0.51,0.2,-0.2,1719402211.6524909
-0.24,-0.02,0.75,1719402211.6524909
-0.24,-0.02,0.58,1719402211.6524909
-0.3,-0.06,0.62,1719402211.6524909
-0.31,-0.07,0.61,1719402211.6524909
-0.26,-0.03,0.6,1719402211.6535053
-0.36,-0.04,0.62,1719402211.6535053
-0.32,-0.04,0.54,1719402211.6535053
-0.26,0.02,0.68,1719402211.6535053
-0.23,-0.05,0.6,1719402211.6535053
-0.36,-0.07,0.61,1719402211.6545053
-0.34,-0.04,0.53,1719402211.6545053
-0.41,-0.05,0.54,1719402211.6545053
-0.19,-0.06,0.43,1719402211.7083292
-0.21,-0.02,0.64,1719402211.7083292
-0.19,-0.06,0.59,1719402211.7083292
-0.34,-0.03,0.58,1719402211.7093341
-0.29,-0.14,0.67,1719402211.7749982
-0.28,-0.1,0.62,1719402211.7749982
-0.3,-0.1,0.6,1719402211.7749982
-0.27,-0.1,0.7,1719402211.8416545
-0.38,-0.18,0.6,1719402211.8416545
-0.34,-0.05,0.49,1719402211.8416545
-0.27,-0.11,0.57,1719402211.842674
-0.35,-0.16,0.49,1719402211.9083283
-0.36,-0.11,0.52,1719402211.9083283
-0.34,-0.12,0.61,1719402211.9093308
-0.3,-0.08,0.56,1719402211.974231
-0.15,-0.13,0.62,1719402211.9752688
-0.5,-0.13,0.64,1719402211.9752688
-0.48,-0.21,0.72,1719402211.976269
-0.37,-0.19,0.57,1719402212.0415053
-0.2,-0.06,0.49,1719402212.0425057
-0.19,-0.04,0.62,1719402212.0425057
-0.3,-0.23,0.58,1719402212.108158
-0.37,-0.19,0.72,1719402212.1091585
-0.54,-0.23,0.68,1719402212.1091585
-0.58,-0.29,0.76,1719402212.1091585
-0.56,-0.31,0.63,1719402212.1749983
-0.57,-0.12,0.52,1719402212.1749983
-0.69,-0.19,0.45,1719402212.176003
-0.77,-0.2,0.49,1719402212.2416503
-0.73,-0.1,0.49,1719402212.2416503
0.34,-0.19,0.41,1719402212.2416503
0.5,-0.27,0.82,1719402212.2416503
0.47,-0.24,0.91,1719402212.3083146
0.16,-0.21,0.62,1719402212.3083146
0.17,-0.18,0.38,1719402212.3083146
0.32,-0.04,0.22,1719402212.309317
0.64,-0.08,0.2,1719402212.37499
0.88,-0.05,0.21,1719402212.37499
0.93,-0.23,0.92,1719402212.37499
0.82,-0.29,1.22,1719402212.3759923
0.64,-0.39,1.11,1719402212.4424937
0.45,-0.32,0.75,1719402212.4435136
0.13,-0.31,0.41,1719402212.4435136
0.15,-0.39,0.37,1719402212.5083253
0.31,-0.41,0.4,1719402212.5083253
0.57,-0.33,0.5,1719402212.5083253
-0.58,-0.72,0.6,1719402212.5093417
-0.77,-0.8,0.69,1719402212.57497
-0.74,-0.85,0.54,1719402212.57497
-0.68,-0.79,0.42,1719402212.57497
-0.56,-0.79,0.44,1719402212.5759726
-0.62,-0.68,0.32,1719402212.6416373
-0.47,-0.65,0.31,1719402212.6416373
-0.46,-0.65,0.32,1719402212.6416373
-0.45,-0.74,0.38,1719402212.7083082
-0.49,-0.87,0.62,1719402212.7088134
-0.55,-0.86,0.7,1719402212.7088134
-0.36,-0.73,1.07,1719402212.7088134
-0.49,-0.83,0.6,1719402212.7749698
-0.08,-0.65,0.45,1719402212.7749698
0.11,-0.41,0.39,1719402212.7749698
0.06,-0.38,0.4,1719402212.8416493
-0.13,-0.4,0.39,1719402212.8416493
-0.16,-0.51,0.46,1719402212.8416493
-0.17,-0.57,0.49,1719402212.8426533
-0.18,-0.56,0.54,1719402212.908301
-0.1,-0.45,0.44,1719402212.908301
-0.1,-0.49,0.47,1719402212.908301
-0.18,-0.45,0.45,1719402212.909304
-0.18,-0.5,0.42,1719402212.9749842
