X,Y,Z,Timestamp
-0.5,-0.75,-0.17,1719425008.8436313
0.16,0.24,0.94,1719425008.8436313
-0.12,0.22,1.01,1719425008.8436313
-0.01,0.23,0.95,1719425008.8436313
0.09,0.23,0.5,1719425008.8436313
-0.04,0.24,0.41,1719425008.8436313
0.09,0.22,0.19,1719425008.8436313
0.14,0.21,0.18,1719425008.8436313
0.09,0.12,0.18,1719425008.8436313
-0.09,0.09,0.44,1719425008.8436313
-0.21,0.1,0.66,1719425008.8436313
-0.23,0.15,0.62,1719425008.8436313
-0.29,0.18,0.87,1719425008.8436313
-0.31,0.17,0.98,1719425008.8436313
-0.23,0.13,0.76,1719425008.8436313
-0.0,0.26,0.58,1719425008.8436313
-0.04,0.16,0.44,1719425008.8436313
-0.35,0.15,0.44,1719425008.8436313
-0.51,0.07,0.41,1719425008.903962
-0.52,0.13,0.51,1719425008.903962
-0.57,0.1,0.39,1719425008.903962
-0.64,0.11,0.36,1719425008.9737556
-0.58,0.07,0.44,1719425008.9737556
-0.62,0.03,0.6,1719425008.9737556
-0.74,0.03,0.72,1719425008.9737556
-1.39,-0.1,0.94,1719425009.0348794
-1.97,-0.1,0.82,1719425009.0449038
-1.81,-0.18,0.8,1719425009.0449038
-0.99,-0.24,0.91,1719425009.0449038
-0.37,-0.09,0.48,1719425009.1060238
-0.41,-0.06,-0.08,1719425009.1060238
-0.48,-0.09,-0.36,1719425009.1060238
0.18,-0.93,-0.37,1719425009.1765203
0.1,-1.1,-0.09,1719425009.1765203
-0.09,-1.33,0.49,1719425009.1765203
-0.42,-1.25,1.16,1719425009.1765203
-0.1,-1.0,0.98,1719425009.2364042
0.58,-0.91,0.55,1719425009.2364042
0.71,-0.98,0.73,1719425009.2364042
0.68,-1.12,1.36,1719425009.3066251
0.87,-1.14,1.69,1719425009.3066251
1.08,-1.27,2.09,1719425009.3066251
1.16,-1.43,2.33,1719425009.3066251
0.96,-1.64,1.99,1719425009.3671467
0.5,-1.79,1.76,1719425009.3775291
0.11,-1.85,1.31,1719425009.3775291
-0.08,-1.83,0.95,1719425009.3775291
-0.32,-0.7,0.2,1719425009.438606
-0.39,-0.62,0.21,1719425009.438606
-0.83,-0.59,0.36,1719425009.438606
-1.3,-0.58,0.59,1719425009.5093668
-1.26,-0.6,0.67,1719425009.5093668
-0.92,-0.63,0.66,1719425009.5093668
-0.35,-0.58,0.52,1719425009.5093668
-0.11,-0.49,0.13,1719425009.570338
