X,Y,Z,Timestamp
-0.23,-0.44,0.96,1719425408.974572
-0.27,-0.47,0.95,1719425408.974572
-0.31,-0.47,1.05,1719425408.974572
-0.12,-0.07,0.38,1719425408.974572
-0.18,-0.06,0.46,1719425408.974572
-0.15,-0.06,0.35,1719425408.974572
-0.18,-0.08,0.18,1719425408.974572
-0.22,-0.1,0.53,1719425408.974572
-0.17,-0.14,0.53,1719425408.974572
-0.33,-0.21,0.51,1719425408.974572
-0.28,-0.14,0.58,1719425408.974572
-0.19,-0.23,0.52,1719425408.974572
-0.23,-0.27,0.53,1719425408.974572
-0.21,-0.18,0.64,1719425408.974572
-0.14,-0.19,0.72,1719425408.974572
-0.17,-0.24,0.7,1719425408.974572
-0.18,-0.21,0.61,1719425408.984871
-0.26,-0.26,0.5,1719425408.994879
-0.19,-0.18,0.73,1719425408.994879
-0.21,-0.2,0.69,1719425408.994879
-0.28,-0.23,0.66,1719425409.055484
-0.23,-0.28,0.65,1719425409.055484
-0.23,-0.16,0.59,1719425409.055484
-0.14,-0.26,0.69,1719425409.055484
-0.27,-0.18,0.58,1719425409.1262462
-0.31,-0.29,0.6,1719425409.1262462
-0.17,-0.29,0.66,1719425409.1262462
-0.2,-0.25,0.53,1719425409.187282
-0.19,-0.23,0.51,1719425409.187282
-0.23,-0.28,0.58,1719425409.187282
-0.27,-0.18,0.58,1719425409.187282
-0.61,-0.39,0.75,1719425409.2579687
-0.64,-0.28,0.72,1719425409.2579687
-0.74,-0.34,0.63,1719425409.2579687
-0.65,-0.39,0.54,1719425409.327965
-0.58,-0.38,0.57,1719425409.327965
-0.38,-0.33,0.47,1719425409.327965
-0.08,-0.23,0.43,1719425409.327965
0.13,-0.23,0.42,1719425409.3879623
0.13,-0.11,0.44,1719425409.3879623
0.04,-0.15,0.44,1719425409.3879623
-0.06,-0.08,0.51,1719425409.3879623
-0.02,-0.18,0.56,1719425409.4582834
-0.08,-0.16,0.64,1719425409.4582834
-0.03,-0.09,0.69,1719425409.4582834
-0.11,-0.27,0.47,1719425409.518891
-0.17,-0.21,0.5,1719425409.518891
-0.1,-0.27,0.57,1719425409.529268
-0.24,-0.25,0.5,1719425409.529268
-0.34,-0.22,0.45,1719425409.589535
-0.31,-0.31,0.4,1719425409.589535
-0.37,-0.32,0.32,1719425409.589535
-0.37,-0.38,-0.01,1719425409.6611614
-0.35,-0.28,-0.36,1719425409.6611614
-0.34,-0.29,-0.5,1719425409.6611614
-0.13,-0.46,-0.1,1719425409.6611614
-0.04,-0.43,0.7,1719425409.722236
0.03,-0.38,0.8,1719425409.722236
-0.11,-0.36,0.95,1719425409.722236
-0.1,-0.49,0.66,1719425409.793488
-0.21,-0.49,0.65,1719425409.793488
-0.15,-0.44,0.62,1719425409.793488
-0.11,-0.39,0.6,1719425409.793488
-0.21,-0.39,0.44,1719425409.8619666
-0.13,-0.38,0.4,1719425409.8619666
-0.03,-0.39,0.29,1719425409.8630157
0.1,-0.42,0.28,1719425409.9263985
0.19,-0.31,0.42,1719425409.9263985
0.26,-0.28,0.54,1719425409.9263985
0.16,-0.4,0.53,1719425409.9263985
0.16,-0.37,0.62,1719425409.9871476
0.15,-0.35,0.8,1719425409.9871476
0.09,-0.43,0.9,1719425409.9871476
0.03,-0.46,0.77,1719425409.9871476
-0.17,-0.49,0.64,1719425410.0579615
-0.16,-0.4,0.67,1719425410.0579615
-0.28,-0.4,0.65,1719425410.0579615
-0.22,-0.43,0.52,1719425410.1197712
-0.3,-0.51,0.44,1719425410.1197712
-0.3,-0.43,0.43,1719425410.1197712
-0.2,-0.44,0.44,1719425410.1197712
-0.18,-0.42,0.46,1719425410.1912963
-0.15,-0.41,0.58,1719425410.1912963
-0.16,-0.37,0.67,1719425410.1912963
-0.2,-0.43,0.58,1719425410.2525985
