X,Y,Z,Timestamp
-0.16,0.02,0.02,1719425834.6409447
0.03,0.02,0.01,1719425834.642149
0.04,0.04,0.09,1719425834.642149
-0.14,0.03,0.05,1719425834.642149
-0.32,0.08,0.19,1719425834.642149
-0.17,0.05,0.25,1719425834.6431997
-0.19,-0.03,0.39,1719425834.6431997
-0.31,0.03,0.51,1719425834.6431997
-0.19,-0.01,0.54,1719425834.6431997
-0.19,-0.04,0.61,1719425834.6431997
-0.15,-0.06,0.64,1719425834.6431997
-0.18,-0.17,0.65,1719425834.6431997
-0.11,-0.09,0.64,1719425834.6431997
-0.31,-0.2,0.65,1719425834.6447034
-0.34,-0.1,0.64,1719425834.6711729
-0.25,-0.09,0.44,1719425834.6711729
-0.27,-0.1,0.43,1719425834.6721783
-0.33,-0.11,0.45,1719425834.7370627
-0.33,-0.15,0.43,1719425834.7370627
-0.28,-0.18,0.59,1719425834.7370627
-0.31,-0.1,0.56,1719425834.738337
-0.18,-0.17,0.71,1719425834.8031685
-0.31,-0.13,0.77,1719425834.8031685
-0.34,-0.05,0.54,1719425834.8046725
-0.22,-0.06,0.49,1719425834.8704734
-0.3,-0.06,0.41,1719425834.8704734
-0.39,-0.15,0.5,1719425834.8715012
-0.35,-0.25,0.41,1719425834.8715012
-0.46,-0.18,0.42,1719425834.9370427
-0.23,-0.32,0.53,1719425834.9381196
-0.23,-0.36,0.89,1719425834.9381196
-0.09,-0.27,0.88,1719425835.00411
-0.11,-0.34,0.74,1719425835.00411
-0.03,-0.39,0.94,1719425835.00411
-0.07,-0.42,0.87,1719425835.0051284
-0.13,-0.49,1.0,1719425835.0699134
-0.13,-0.41,1.21,1719425835.0699134
-0.19,-0.41,0.94,1719425835.0714378
-0.37,-0.45,1.03,1719425835.1369374
-0.31,-0.54,0.97,1719425835.1379392
-0.34,-0.45,0.72,1719425835.1379392
-0.27,-0.41,0.62,1719425835.1379392
-0.12,-0.39,0.47,1719425835.2039819
-0.34,-0.43,0.82,1719425835.2049856
-0.37,-0.5,0.49,1719425835.2049856
-0.37,-0.34,0.5,1719425835.206006
-0.23,-0.37,0.63,1719425835.2705162
-0.28,-0.43,0.47,1719425835.2715151
-0.37,-0.41,0.41,1719425835.2725182
-0.51,-0.41,0.47,1719425835.336726
-0.59,-0.31,0.42,1719425835.336726
-0.67,-0.43,0.42,1719425835.3383012
-0.84,-0.44,0.48,1719425835.3383012
-0.77,-0.31,0.44,1719425835.404288
-0.49,-0.28,0.42,1719425835.404288
-0.35,-0.29,0.36,1719425835.4056253
-0.42,-0.23,0.43,1719425835.470776
-0.49,-0.49,0.46,1719425835.470776
-0.45,-0.34,0.22,1719425835.4717782
-0.03,-0.18,0.33,1719425835.4717782
0.16,-0.14,0.39,1719425835.5371363
