X,Y,Z,Timestamp
-0.27,-0.65,0.89,1719425211.0211205
-0.24,-0.52,0.71,1719425211.0211205
-0.14,-0.61,0.52,1719425211.0211205
-0.21,-0.44,0.54,1719425211.0211205
-0.2,-0.43,0.44,1719425211.0211205
-0.18,-0.3,0.03,1719425211.0211205
-0.13,0.06,0.53,1719425211.0211205
-0.19,-0.03,0.44,1719425211.0211205
-0.18,-0.07,0.62,1719425211.0211205
-0.28,-0.03,0.74,1719425211.0211205
-0.24,-0.09,0.72,1719425211.0211205
-0.21,-0.06,0.71,1719425211.0211205
-0.29,-0.04,0.68,1719425211.0211205
-0.25,-0.04,0.6,1719425211.0211205
-0.18,-0.07,0.52,1719425211.0211205
-0.17,-0.09,0.43,1719425211.0211205
-0.3,0.02,0.39,1719425211.0211205
-0.27,-0.08,0.39,1719425211.0813503
-0.23,0.05,0.46,1719425211.0813503
-0.26,-0.03,0.55,1719425211.0813503
-0.03,-0.0,0.64,1719425211.1513906
0.13,-0.07,0.72,1719425211.1513906
0.31,-0.04,0.59,1719425211.1513906
0.54,-0.07,0.73,1719425211.1513906
0.6,-0.05,0.74,1719425211.2113607
0.62,-0.11,0.8,1719425211.2211604
0.47,-0.11,0.92,1719425211.2211604
0.14,-0.14,0.85,1719425211.2211604
-0.39,-0.27,0.65,1719425211.2820241
-0.52,-0.26,0.41,1719425211.2820241
-0.49,-0.28,0.7,1719425211.2820241
-0.83,-0.26,0.88,1719425211.2820241
-0.91,-0.27,0.77,1719425211.3520355
-0.95,-0.21,0.53,1719425211.3520355
-0.75,-0.17,0.41,1719425211.3520355
-0.22,0.03,0.53,1719425211.412241
-0.23,-0.03,0.58,1719425211.412241
-0.36,-0.05,0.52,1719425211.4221048
-0.32,-0.11,0.35,1719425211.4221048
-0.23,-0.03,0.21,1719425211.4821873
-0.34,-0.16,0.15,1719425211.4821873
-0.38,-0.18,0.05,1719425211.4821873
0.02,-0.17,-0.16,1719425211.5526295
-0.02,-0.28,-0.41,1719425211.5526295
-0.23,-0.35,-0.85,1719425211.5526295
-0.32,-0.56,-1.11,1719425211.5526295
-0.28,-0.63,-1.0,1719425211.6134617
-0.11,-0.73,0.17,1719425211.6134617
-0.2,-0.86,1.65,1719425211.6134617
-0.1,-0.49,1.01,1719425211.6850202
-0.37,-0.44,1.14,1719425211.6850202
-0.32,-0.54,0.71,1719425211.6850202
-0.39,-0.46,0.29,1719425211.6850202
-0.45,-0.46,0.05,1719425211.7456198
-0.5,-0.43,0.04,1719425211.755361
-0.78,-0.49,0.27,1719425211.755361
-0.75,-0.61,0.61,1719425211.8158143
-0.83,-0.65,0.74,1719425211.8158143
-1.02,-0.68,0.8,1719425211.8158143
-0.83,-0.68,0.89,1719425211.8158143
-0.61,-0.7,1.07,1719425211.8869588
-0.58,-0.8,0.75,1719425211.8869588
-0.24,-0.66,0.44,1719425211.8869588
-0.15,-0.36,0.54,1719425211.9476194
-0.11,-0.48,0.23,1719425211.9476194
-0.07,-0.42,0.12,1719425211.9476194
-0.08,-0.35,0.22,1719425211.9476194
-0.04,-0.41,0.23,1719425212.0187032
-0.04,-0.38,0.48,1719425212.0187032
-0.18,-0.4,0.65,1719425212.0187032
-0.24,-0.43,0.62,1719425212.0792174
-0.29,-0.36,0.59,1719425212.0792174
-0.28,-0.38,0.69,1719425212.0892
-0.26,-0.34,0.63,1719425212.0892
-0.15,-0.34,0.54,1719425212.1500666
-0.12,-0.37,0.54,1719425212.1500666
-0.23,-0.38,0.64,1719425212.1500666
-0.15,-0.29,-0.35,1719425212.1500666
0.08,-0.13,-0.49,1719425212.2114244
