X,Y,Z,Timestamp
-0.8,0.12,0.07,1719425647.413819
-0.77,0.11,0.06,1719425647.4148853
-0.79,0.09,0.08,1719425647.4148853
-0.85,0.13,0.03,1719425647.415553
-0.77,0.14,-0.04,1719425647.415553
-0.79,0.1,0.01,1719425647.4161
-0.77,0.12,0.02,1719425647.4161
-0.72,0.17,0.05,1719425647.4161
-0.78,0.1,0.05,1719425647.4161
-0.78,0.23,0.04,1719425647.4161
-0.73,0.16,0.1,1719425647.4161
-0.83,0.12,0.07,1719425647.417103
-0.76,0.13,0.07,1719425647.417103
-0.75,0.1,0.06,1719425647.417103
-0.69,0.1,-0.02,1719425647.4287484
-0.72,0.13,-0.01,1719425647.4287484
-0.73,0.09,-0.09,1719425647.4287484
-0.83,0.12,0.02,1719425647.4297867
-0.83,0.19,-0.04,1719425647.4957793
-0.7,0.09,0.03,1719425647.4957793
-0.83,0.1,0.08,1719425647.4957793
-0.73,0.08,-0.02,1719425647.5625806
-0.73,0.11,0.08,1719425647.5625806
-0.79,0.13,-0.03,1719425647.5625806
-0.8,0.18,0.12,1719425647.563602
-0.76,0.16,0.03,1719425647.6281135
-0.75,0.11,0.08,1719425647.629114
-0.77,0.16,0.07,1719425647.630114
-0.73,0.18,0.02,1719425647.630114
-0.7,0.2,0.05,1719425647.6958096
-0.7,0.13,0.06,1719425647.6958096
-0.85,0.15,-0.03,1719425647.6958096
-0.86,0.12,-0.06,1719425647.696812
-0.8,0.11,-0.03,1719425647.7621274
-0.76,0.09,0.01,1719425647.7621274
-0.74,0.07,0.05,1719425647.7631311
-0.75,0.11,0.03,1719425647.8283074
-0.74,0.08,0.03,1719425647.8293076
-0.72,0.18,0.05,1719425647.8303082
-0.75,0.06,0.08,1719425647.8313086
-0.84,0.13,0.09,1719425647.894122
-0.83,0.08,0.11,1719425647.894122
-0.76,0.13,0.1,1719425647.894122
-0.8,0.08,0.05,1719425647.894122
-0.74,0.11,0.08,1719425647.9613173
-0.75,0.13,0.08,1719425647.9613173
-0.8,0.09,0.08,1719425647.9613173
-0.73,0.11,0.13,1719425647.9613173
-0.75,0.1,0.12,1719425648.0288184
-0.72,0.19,0.05,1719425648.0294518
-0.75,0.16,0.07,1719425648.0294518
-0.83,0.16,0.03,1719425648.0958374
-0.77,0.16,0.15,1719425648.0958374
-0.83,0.15,-0.0,1719425648.0958374
-0.83,0.19,0.09,1719425648.0968425
-0.67,0.21,0.03,1719425648.1621885
-0.76,0.13,0.1,1719425648.1626945
-0.75,0.08,0.02,1719425648.1626945
-0.75,0.17,0.1,1719425648.1636975
-0.73,0.18,0.03,1719425648.2288475
