X,Y,Z,Timestamp
-1.72,-0.21,0.47,1719424769.1783388
-1.49,-0.17,0.63,1719424769.1793392
-1.2,-0.0,0.66,1719424769.1793392
-1.05,-0.03,0.5,1719424769.1793392
-0.96,0.01,0.38,1719424769.1803396
-0.97,0.14,0.35,1719424769.1803396
-0.78,0.17,0.37,1719424769.1803396
-0.32,0.18,0.45,1719424769.1803396
-0.39,0.18,0.58,1719424769.1803396
-0.45,0.12,0.62,1719424769.1813397
-0.51,0.15,0.49,1719424769.1813397
-0.54,0.16,0.44,1719424769.1813397
-0.64,0.1,0.42,1719424769.1813397
-0.58,0.18,0.52,1719424769.1813397
-0.42,0.08,0.42,1719424769.1920133
-0.4,0.09,0.38,1719424769.1923437
-0.32,0.18,0.43,1719424769.1923437
-0.25,0.22,0.36,1719424769.258579
-0.37,0.15,0.44,1719424769.2590828
-0.32,0.14,0.41,1719424769.2590828
-0.44,0.19,0.47,1719424769.2590828
-0.39,0.25,0.46,1719424769.3249738
-0.49,0.21,0.53,1719424769.3259766
-0.47,0.16,0.68,1719424769.3259766
-0.41,0.22,0.62,1719424769.3259766
-0.39,0.21,0.51,1719424769.391701
-0.25,0.23,0.58,1719424769.391701
-0.19,0.16,0.57,1719424769.3930502
-0.1,0.24,0.51,1719424769.3930502
-0.08,0.23,0.42,1719424769.4586718
0.05,0.22,0.41,1719424769.4586718
-0.05,0.24,0.42,1719424769.4596753
-0.08,0.29,0.56,1719424769.4596753
-0.03,0.18,0.62,1719424769.5251682
-0.13,0.27,0.66,1719424769.5261877
-0.01,0.23,0.46,1719424769.5261877
0.23,0.27,0.41,1719424769.5915327
0.39,0.25,0.28,1719424769.592562
0.39,0.23,0.23,1719424769.592562
0.34,0.17,0.28,1719424769.593588
-0.33,-1.94,1.46,1719424769.6579816
-0.75,-1.73,1.62,1719424769.6589894
-0.69,-1.5,1.37,1719424769.6589894
-0.96,-1.55,1.04,1719424769.660019
-1.21,-1.66,0.71,1719424769.7256427
-1.17,-1.66,0.85,1719424769.7256427
-1.31,-1.65,0.8,1719424769.7256427
-1.48,-1.73,0.38,1719424769.791901
-1.43,-1.83,0.17,1719424769.791901
-1.32,-1.95,-0.18,1719424769.791901
-0.44,-2.09,0.51,1719424769.7930396
0.13,-2.0,1.17,1719424769.8586774
0.18,-1.88,1.32,1719424769.8591821
0.14,-1.58,1.14,1719424769.8591821
0.72,-0.74,0.43,1719424769.8591821
0.36,-0.75,0.57,1719424769.9249735
0.28,-0.72,0.49,1719424769.9259763
0.1,-0.64,0.52,1719424769.9259763
-0.13,-0.64,0.46,1719424769.9916503
-0.34,-0.56,0.28,1719424769.9916503
-0.91,-0.47,-0.02,1719424769.992638
-0.83,-0.27,-0.39,1719424769.992638
-0.28,-0.24,-0.3,1719424770.0586722
