X,Y,Z,Timestamp
-0.07,-0.66,-0.12,1719425982.4975955
-0.39,-0.69,0.46,1719425982.498596
-0.72,-0.65,0.7,1719425982.498596
-0.75,-0.58,0.73,1719425982.498596
-0.59,-0.56,0.69,1719425982.498596
-0.45,-0.47,0.36,1719425982.4995964
-0.27,-0.44,0.2,1719425982.4995964
-0.18,-0.31,0.07,1719425982.4995964
-0.1,-0.25,-0.06,1719425982.4995964
-0.44,-0.39,0.64,1719425982.4995964
-0.47,-0.39,0.64,1719425982.5005965
-0.41,-0.41,0.62,1719425982.5005965
-0.39,-0.38,0.61,1719425982.5010996
-0.34,-0.3,0.49,1719425982.5010996
-0.3,-0.39,0.5,1719425982.5010996
-0.34,-0.38,0.46,1719425982.5010996
-0.4,-0.37,0.48,1719425982.5010996
-0.34,-0.37,0.52,1719425982.502101
-0.35,-0.33,0.47,1719425982.502101
-0.39,-0.34,0.6,1719425982.502101
-0.46,-0.41,0.47,1719425982.502101
-0.44,-0.39,0.5,1719425982.5390797
-0.34,-0.41,0.49,1719425982.5400853
-0.39,-0.39,0.5,1719425982.5400853
-0.32,-0.36,0.49,1719425982.6055934
-0.41,-0.44,0.41,1719425982.6055934
-0.38,-0.44,0.52,1719425982.6055934
-0.42,-0.44,0.49,1719425982.6070971
-0.33,-0.44,0.63,1719425982.672993
-0.45,-0.41,0.59,1719425982.672993
-0.43,-0.39,0.56,1719425982.674012
-0.44,-0.43,0.54,1719425982.7385356
-0.39,-0.42,0.51,1719425982.7398827
-0.31,-0.34,0.5,1719425982.7398827
-0.39,-0.44,0.52,1719425982.740893
-0.46,-0.39,0.56,1719425982.80643
-0.42,-0.39,0.65,1719425982.80643
0.03,0.13,0.29,1719425982.80643
-0.45,0.1,0.64,1719425982.807432
-0.44,-0.03,0.42,1719425982.8723805
-0.34,0.08,0.2,1719425982.8723805
-0.18,0.2,0.02,1719425982.8738835
-0.33,0.23,0.1,1719425982.9391012
-0.62,0.21,-0.07,1719425982.9400856
-0.56,0.22,-0.4,1719425982.9400856
-0.19,0.32,-0.66,1719425982.9400856
-0.22,0.29,-0.46,1719425983.006369
-0.44,0.31,-0.38,1719425983.006369
-0.48,0.29,-0.59,1719425983.0073879
-0.65,0.14,-1.04,1719425983.0732174
-0.83,-0.05,-1.54,1719425983.0732174
-0.87,-0.34,-2.5,1719425983.0732174
-1.79,-0.97,2.33,1719425983.0742245
-1.22,-0.75,1.88,1719425983.1398015
-0.99,-0.83,1.18,1719425983.1398015
-0.84,-1.07,0.92,1719425983.1408033
-0.68,-1.2,0.94,1719425983.2064073
-0.09,-1.41,0.57,1719425983.2064073
1.32,-2.19,1.06,1719425983.2064073
0.7,-0.92,-0.97,1719425983.2074275
-0.27,-0.07,-0.86,1719425983.2734127
-1.11,-0.21,-0.54,1719425983.2744129
-0.5,0.08,-0.4,1719425983.2754126
0.1,0.23,0.09,1719425983.2754126
-0.32,0.19,0.35,1719425983.3397305
-0.64,0.25,0.18,1719425983.3397305
-0.9,-0.41,-2.71,1719425983.3397305
-0.51,-0.97,-2.94,1719425983.405492
-0.03,-2.77,-2.38,1719425983.406543
0.28,-3.3,-1.32,1719425983.4070477
0.5,-3.3,0.92,1719425983.4070477
-0.33,-3.3,3.3,1719425983.4728272
-2.6,-2.48,3.3,1719425983.4733317
-1.41,-1.52,3.3,1719425983.4733317
-0.38,-1.04,2.45,1719425983.5391867
