X,Y,Z,Timestamp
0.05,-0.63,0.78,1719426153.9391916
-0.2,-0.58,0.74,1719426153.9391916
0.05,-0.52,0.42,1719426153.9391916
0.42,-0.47,0.45,1719426153.9391916
0.65,-0.34,0.64,1719426153.9401917
0.65,-0.32,0.82,1719426153.9401917
0.31,-0.34,0.88,1719426153.9401917
-0.04,-0.34,0.76,1719426153.9411922
-0.15,-0.43,0.56,1719426153.9411922
-0.18,-0.35,0.51,1719426153.9411922
-0.16,-0.35,0.41,1719426153.9411922
-0.03,-0.3,0.31,1719426153.9411922
0.08,-0.2,0.19,1719426153.9411922
-0.33,-0.41,0.62,1719426153.9411922
-0.48,-0.43,0.69,1719426153.942695
-0.45,-0.46,0.57,1719426153.942695
-0.4,-0.46,0.69,1719426153.942695
-0.39,-0.36,0.53,1719426153.942695
-0.3,-0.35,0.45,1719426153.942695
-0.36,-0.29,0.39,1719426153.9437046
-0.39,-0.34,0.35,1719426153.9437046
-0.31,-0.37,0.39,1719426153.9437046
-0.4,-0.34,0.46,1719426153.9437046
-0.48,-0.32,0.45,1719426153.9437046
-0.38,-0.34,0.44,1719426153.9437046
-0.43,-0.38,0.51,1719426153.9447045
-0.29,-0.39,0.5,1719426153.9447045
-0.19,-0.66,1.31,1719426153.9447045
-0.12,-0.62,1.15,1719426153.9447045
-0.26,-0.68,1.03,1719426153.9447045
-0.55,-0.7,0.72,1719426153.945705
-0.86,-0.64,0.23,1719426153.945705
-0.65,-0.5,-0.12,1719426153.945705
-0.41,-0.33,-0.1,1719426153.945705
-0.34,-0.2,0.43,1719426153.945705
-0.31,-0.16,0.59,1719426153.946705
-0.25,-0.11,0.26,1719426153.946705
-0.24,0.08,-0.13,1719426153.946705
-0.19,0.19,-0.29,1719426153.946705
-0.26,0.36,-0.43,1719426153.946705
-0.18,0.3,-0.48,1719426153.9477055
-0.49,-0.18,0.96,1719426153.9477055
-0.59,-0.19,0.9,1719426153.9477055
-0.51,-0.06,0.8,1719426153.9477055
-0.42,-0.08,0.6,1719426153.9477055
-0.42,-0.1,0.54,1719426153.9487057
-0.26,-0.01,0.49,1719426153.9487057
-0.22,0.09,0.53,1719426153.9487057
-0.34,0.05,0.57,1719426153.9487057
-0.32,0.06,0.49,1719426153.9487057
-0.27,0.06,0.41,1719426153.9487057
-0.28,0.08,0.37,1719426153.9497063
-0.28,0.1,0.47,1719426153.9497063
-0.23,0.15,0.51,1719426153.9497063
-0.24,0.07,0.49,1719426153.9497063
-0.44,0.04,0.49,1719426153.9497063
