X,Y,Z,Timestamp
0.18,0.13,0.32,1718890627.9614387
-0.1,-0.07,0.09,1718890627.9625664
0.06,0.03,0.12,1718890627.9625664
0.17,0.12,0.11,1718890627.963573
0.21,0.1,0.23,1718890627.963573
0.45,0.21,0.31,1718890627.964573
0.23,0.1,0.23,1718890627.964573
0.6,0.35,0.58,1718890627.965573
0.37,0.1,0.44,1718890627.965573
0.42,-0.03,0.51,1718890627.965573
0.35,-0.01,0.74,1718890627.9665716
0.34,0.01,0.75,1718890627.9665716
0.28,0.02,0.75,1718890627.9680235
-0.07,0.03,0.5,1718890627.9680235
-0.05,0.02,0.5,1718890627.9690316
-0.08,0.04,0.53,1718890627.970039
-0.06,-0.03,0.55,1718890627.970039
-0.04,0.04,0.53,1718890627.971038
-0.0,0.03,0.55,1718890627.971038
-0.02,0.05,0.55,1718890627.9720376
0.06,0.18,0.69,1718890627.9720376
-0.05,0.01,0.56,1718890627.9730375
0.03,-0.08,0.62,1718890627.9730375
-0.05,0.06,0.65,1718890627.9740415
0.11,0.06,0.71,1718890627.9740415
0.18,0.21,0.7,1718890627.9740415
-0.01,0.03,0.52,1718890627.975037
-0.01,0.03,0.56,1718890627.975037
0.04,0.06,0.58,1718890627.975037
-0.1,-0.03,0.59,1718890627.9760396
0.1,0.11,0.6,1718890627.9760396
0.11,0.13,0.82,1718890627.9760396
0.13,0.14,0.72,1718890627.9770384
0.12,0.15,0.77,1718890627.9770384
0.04,0.03,0.65,1718890627.9770384
-0.09,-0.09,0.57,1718890627.9780388
-0.0,-0.07,0.62,1718890627.9780388
0.01,0.03,0.58,1718890627.9780388
-0.07,-0.01,0.58,1718890628.0356805
-0.06,0.02,0.52,1718890628.036677
-0.05,0.06,0.64,1718890628.036677
-0.01,-0.1,0.7,1718890628.037678
-0.07,0.01,0.66,1718890628.1029456
-0.12,-0.02,0.6,1718890628.1039543
-0.05,-0.01,0.56,1718890628.1039543
-0.04,-0.0,0.56,1718890628.169717
-0.11,-0.02,0.54,1718890628.169717
-0.09,-0.02,0.59,1718890628.1706092
-0.03,-0.05,0.62,1718890628.1706092
-0.05,-0.01,0.59,1718890628.236571
0.03,0.09,0.65,1718890628.236571
0.02,0.1,0.59,1718890628.2375698
0.03,-0.04,0.59,1718890628.2375698
-0.01,0.06,0.67,1718890628.3030934
-0.03,0.08,0.66,1718890628.3030934
0.13,0.1,0.7,1718890628.3039815
0.09,0.15,0.66,1718890628.3696802
0.01,-0.05,0.7,1718890628.3696802
0.08,-0.18,0.64,1718890628.3705444
-0.0,0.07,0.7,1718890628.3705444
-0.07,0.02,0.57,1718890628.4367232
-0.43,-0.05,0.2,1718890628.4367232
-0.46,-0.07,0.21,1718890628.4377422
-0.28,-0.05,0.09,1718890628.4377422
-0.31,-0.19,-0.13,1718890628.503779
-0.12,-0.11,-0.13,1718890628.504779
0.1,-0.1,-0.07,1718890628.504779
0.41,-0.29,-0.07,1718890628.5690224
0.35,-0.25,0.2,1718890628.5699048
0.46,-0.44,0.29,1718890628.570498
0.62,-0.32,0.33,1718890628.5708385
0.35,-0.59,0.41,1718890628.6354995
0.33,-0.75,0.57,1718890628.6366267
0.23,-0.8,0.7,1718890628.6366267
0.95,-0.2,1.02,1718890628.6366267
0.27,-0.83,0.54,1718890628.7028193
-0.25,-1.0,0.47,1718890628.7037244
-0.1,-0.83,0.29,1718890628.7037244
0.03,-0.95,0.51,1718890628.7696116
-0.24,-1.15,0.85,1718890628.7696116
-0.49,-1.21,0.7,1718890628.7706926
-0.85,-1.04,0.63,1718890628.7706926
-0.58,-1.28,1.04,1718890628.835735
-0.53,-1.42,1.14,1718890628.836636
-0.85,-1.05,0.37,1718890628.836636
-1.31,-0.6,-0.47,1718890628.9028249
-1.05,-0.64,0.19,1718890628.9028249
-1.11,-0.76,0.61,1718890628.9038239
-0.94,-0.58,0.23,1718890628.9038239
-0.53,-0.46,-0.07,1718890628.9698226
0.23,0.19,0.13,1718890628.9698226
0.33,0.16,-0.05,1718890628.970831
0.58,0.19,0.02,1718890628.970831
0.47,0.21,0.08,1718890629.036401
0.61,0.06,0.44,1718890629.0374105
0.41,-0.03,0.57,1718890629.0374105
0.92,0.31,0.7,1718890629.0374105
0.38,-0.03,0.77,1718890629.102431
0.81,0.54,1.2,1718890629.1034415
0.24,0.15,0.61,1718890629.1039217
-0.03,-0.17,0.32,1718890629.1039217
0.08,0.05,0.54,1718890629.169356
0.27,0.13,0.54,1718890629.1703558
0.25,0.1,0.58,1718890629.1703558
0.21,-0.03,0.56,1718890629.2353158
