X,Y,Z,Timestamp
0.22,0.15,0.61,1718890716.58305
-0.25,-0.26,0.61,1718890716.584062
-0.14,-0.07,0.7,1718890716.584062
-0.2,-0.21,0.56,1718890716.5854037
-0.08,0.1,1.2,1718890716.5854037
1.25,1.49,0.51,1718890716.5854037
-0.02,-0.1,0.76,1718890716.5864093
-0.22,-0.28,0.63,1718890716.5864093
-0.06,-0.1,0.78,1718890716.5864093
0.27,0.26,0.99,1718890716.5874114
-0.24,-0.25,0.7,1718890716.5874114
0.16,0.08,0.95,1718890716.5874114
-0.26,-0.25,0.64,1718890716.5874114
-0.17,-0.19,0.59,1718890716.5884125
-0.25,-0.22,0.62,1718890716.5884125
-0.27,-0.16,0.55,1718890716.5884125
-0.24,-0.21,0.59,1718890716.5894089
-0.23,-0.2,0.58,1718890716.5894089
-0.26,-0.18,0.64,1718890716.5894089
-0.23,-0.18,0.62,1718890716.5894089
-0.16,-0.16,0.64,1718890716.5904114
-0.21,-0.15,0.58,1718890716.5904114
-0.22,-0.18,0.62,1718890716.5904114
-0.15,-0.08,0.78,1718890716.591409
-0.11,-0.02,0.72,1718890716.591409
0.16,0.16,0.93,1718890716.591409
0.02,0.13,0.82,1718890716.591409
-0.05,-0.03,0.75,1718890716.5924087
0.21,0.2,1.02,1718890716.6352663
0.04,0.14,0.9,1718890716.6362243
0.1,0.18,0.82,1718890716.6362243
-0.04,0.1,0.74,1718890716.6362243
0.13,0.26,0.92,1718890716.701749
0.05,0.14,0.86,1718890716.7027452
-0.21,-0.1,0.59,1718890716.7027452
-0.12,-0.15,0.59,1718890716.7688634
-0.18,-0.08,0.63,1718890716.7688634
0.05,0.08,0.75,1718890716.7688634
-0.01,0.03,0.88,1718890716.7698734
-0.06,0.23,0.94,1718890716.835577
0.13,0.13,0.99,1718890716.8365934
0.1,0.2,0.9,1718890716.8365934
0.13,0.12,0.91,1718890716.837592
0.05,0.07,0.87,1718890716.9026716
0.14,0.15,0.94,1718890716.9026716
-0.58,-0.3,0.37,1718890716.903687
-0.5,-0.18,0.45,1718890716.9046857
-0.36,-0.08,0.44,1718890716.9691823
-0.24,-0.19,0.41,1718890716.9691823
0.09,-0.11,0.42,1718890716.9702363
0.63,-0.01,0.64,1718890716.9702363
0.65,-0.06,0.59,1718890717.0360177
0.95,0.39,1.07,1718890717.0360177
0.64,0.24,0.82,1718890717.0370293
0.72,0.24,0.82,1718890717.101564
0.65,0.17,0.82,1718890717.1025836
0.46,-0.03,0.67,1718890717.1025836
0.65,0.31,0.96,1718890717.103584
0.4,0.1,0.86,1718890717.1685061
0.13,-0.1,0.6,1718890717.1685061
0.25,-0.01,0.67,1718890717.1694407
-0.06,-0.46,0.22,1718890717.1694407
-0.19,-0.69,1.01,1718890717.2350986
-0.01,-0.56,2.13,1718890717.236065
-0.13,-0.87,1.21,1718890717.236065
0.06,-0.52,0.89,1718890717.237066
0.17,-0.51,0.26,1718890717.3021386
-0.15,-0.44,0.21,1718890717.3030756
-0.19,-0.4,0.24,1718890717.3030756
-0.14,-0.43,0.58,1718890717.3687596
0.06,-0.43,0.74,1718890717.3687596
0.08,-0.72,0.88,1718890717.3697565
-0.08,-1.02,1.13,1718890717.3697565
-0.09,-0.95,1.24,1718890717.4354434
-0.05,-0.85,1.01,1718890717.4354434
0.33,-0.15,0.48,1718890717.4365313
0.34,-0.2,0.39,1718890717.4365313
0.41,-0.23,0.46,1718890717.5024269
0.33,-0.21,0.31,1718890717.5033371
0.35,-0.26,0.38,1718890717.5033371
0.33,-0.24,0.36,1718890717.5678148
0.3,-0.35,0.34,1718890717.5691752
0.59,0.13,0.82,1718890717.5691752
0.16,-0.24,0.82,1718890717.5701814
-0.35,-0.67,0.41,1718890717.6356864
-0.24,-0.59,0.47,1718890717.6356864
-0.34,-0.62,0.62,1718890717.6366477
-0.39,-0.64,0.54,1718890717.6366477
-0.18,-0.61,0.6,1718890717.7017481
-0.34,-0.53,0.55,1718890717.7027338
-0.28,-0.56,0.68,1718890717.7027338
0.03,-0.32,0.69,1718890717.7685883
0.18,-0.1,0.98,1718890717.7685883
-0.18,-0.49,0.72,1718890717.7696955
-0.11,-0.56,0.82,1718890717.7696955
-0.1,-0.6,0.95,1718890717.8355315
-0.24,-0.75,1.09,1718890717.8355315
-0.01,-0.65,1.45,1718890717.8365326
-0.2,-0.69,1.21,1718890717.8365326
-0.35,-0.66,0.67,1718890717.9017684
-0.07,-0.38,0.69,1718890717.9027545
-0.27,-0.55,0.44,1718890717.9032443
0.18,-0.12,0.93,1718890717.9690862
