X,Y,Z,Timestamp
0.15,-0.37,0.87,1718891029.9684575
0.28,-0.27,1.0,1718891029.9693732
0.15,0.13,0.73,1718891029.9693732
-0.14,-0.1,0.51,1718891029.9693732
0.18,0.22,0.81,1718891029.9703686
0.25,0.31,0.91,1718891029.9703686
0.01,0.04,0.5,1718891029.9713695
-0.17,0.06,0.55,1718891029.9713695
-0.31,-0.19,0.39,1718891029.9721882
-0.24,-0.03,0.44,1718891029.9721882
-0.26,-0.06,0.52,1718891029.9731946
-0.13,-0.02,0.68,1718891029.9733388
0.08,0.18,0.7,1718891029.9737885
-0.02,0.06,0.69,1718891029.9737885
-0.16,0.04,0.77,1718891029.9737885
0.07,0.1,0.82,1718891029.9747953
-0.14,-0.08,0.82,1718891029.9747953
-0.14,-0.08,0.86,1718891029.9757936
-0.12,-0.05,0.72,1718891029.9768858
-0.2,-0.09,0.62,1718891029.9768858
-0.22,-0.08,0.58,1718891029.9768858
-0.19,-0.13,0.61,1718891029.9778907
-0.22,-0.08,0.63,1718891029.9778907
-0.19,-0.07,0.63,1718891029.9788926
-0.27,-0.1,0.54,1718891029.9788926
-0.27,-0.03,0.62,1718891030.0102813
-0.14,-0.02,0.58,1718891030.0112436
-0.18,-0.06,0.54,1718891030.0112436
-0.24,-0.08,0.65,1718891030.0122218
-0.18,-0.08,0.67,1718891030.0779967
-0.21,-0.13,0.58,1718891030.0779967
-0.2,-0.08,0.67,1718891030.078998
-0.49,-0.2,0.33,1718891030.1435342
-0.47,-0.13,0.27,1718891030.1445339
-0.56,-0.16,0.21,1718891030.1445339
-0.64,-0.17,0.06,1718891030.145532
-0.7,-0.15,-0.05,1718891030.2113454
-0.78,-0.27,0.02,1718891030.2116268
-0.77,-0.2,0.04,1718891030.212812
-0.7,-0.19,0.05,1718891030.2770116
-0.48,-0.18,0.1,1718891030.2780082
-0.21,-0.28,0.3,1718891030.2790105
0.28,0.04,0.9,1718891030.2790105
0.04,-0.46,0.69,1718891030.3441932
0.08,-0.55,0.8,1718891030.3451931
-0.26,-0.7,1.63,1718891030.3461928
0.28,-0.7,0.82,1718891030.34719
0.21,-0.62,0.67,1718891030.411264
0.26,-0.57,0.58,1718891030.412279
0.33,-0.44,0.54,1718891030.4132812
0.36,-0.45,0.48,1718891030.4132812
0.34,-0.45,0.52,1718891030.4783564
0.28,-0.38,0.42,1718891030.4793582
0.18,-0.31,0.35,1718891030.4803572
0.15,-0.39,0.36,1718891030.5444567
0.67,-0.16,0.47,1718891030.5444567
-0.08,-0.26,0.15,1718891030.5454597
-0.13,-0.25,0.24,1718891030.5464547
-0.16,-0.25,0.2,1718891030.6108043
-0.28,-0.32,0.14,1718891030.6108043
-0.38,-0.34,0.18,1718891030.6119447
-0.78,-0.83,0.82,1718891030.6774352
-0.73,-0.83,0.94,1718891030.6774352
-0.75,-0.83,0.82,1718891030.6786432
-0.75,-0.88,0.92,1718891030.6786432
-0.7,-0.88,0.88,1718891030.744268
-0.57,-0.77,0.82,1718891030.744268
-0.46,-0.63,0.73,1718891030.7452576
-0.39,-0.68,0.63,1718891030.7452576
-0.19,-0.57,0.78,1718891030.8109193
-0.22,-0.44,0.49,1718891030.8109193
-0.19,-0.39,0.46,1718891030.8119264
0.22,-0.13,0.95,1718891030.8771236
