X,Y,Z,Timestamp
0.55,-0.03,-0.01,1718890580.7321417
0.51,0.01,0.02,1718890580.7321417
0.19,-0.13,-0.18,1718890580.733505
-0.3,-0.05,0.67,1718890580.7345111
-0.67,-0.42,0.3,1718890580.7345111
-0.39,-0.1,0.6,1718890580.735852
-0.56,-0.33,0.51,1718890580.735852
-0.56,-0.3,0.61,1718890580.7368608
-0.52,-0.23,0.72,1718890580.7378583
-0.38,-0.24,0.75,1718890580.7393396
-0.37,-0.24,0.73,1718890580.7393396
-0.24,-0.11,0.98,1718890580.7393396
-0.42,-0.28,0.79,1718890580.7403448
-0.31,-0.09,0.87,1718890580.7403448
-0.34,-0.23,0.68,1718890580.7403448
-0.24,-0.09,0.67,1718890580.7413445
-0.18,-0.06,0.72,1718890580.7413445
-0.24,-0.16,0.59,1718890580.7413445
-0.24,-0.16,0.56,1718890580.7423441
-0.18,-0.09,0.58,1718890580.7423441
-0.06,-0.14,0.6,1718890580.7423441
-0.1,-0.05,0.6,1718890580.7423441
-0.0,0.03,0.68,1718890580.743344
-0.15,-0.16,0.49,1718890580.743344
-0.09,-0.03,0.64,1718890580.770499
-0.18,-0.14,0.54,1718890580.770499
-0.03,-0.0,0.71,1718890580.7714965
-0.1,-0.1,0.64,1718890580.7714965
-0.13,-0.07,0.61,1718890580.8368454
-0.14,-0.09,0.63,1718890580.8376796
-0.19,-0.1,0.62,1718890580.8378823
-0.16,-0.05,0.63,1718890580.9037783
-0.01,0.07,0.67,1718890580.9042861
-0.21,-0.14,0.58,1718890580.9042861
-0.18,-0.11,0.62,1718890580.905294
-0.18,-0.11,0.64,1718890580.9700553
-0.22,-0.15,0.63,1718890580.9700553
-0.2,-0.12,0.64,1718890580.9710686
-0.15,-0.18,0.6,1718890581.037067
-0.15,-0.15,0.67,1718890581.037067
-0.2,-0.11,0.63,1718890581.038021
-0.21,-0.13,0.6,1718890581.038021
-0.21,-0.13,0.58,1718890581.103367
-0.17,-0.1,0.59,1718890581.1041343
-0.16,-0.12,0.6,1718890581.1041343
-0.21,-0.16,0.59,1718890581.1702218
-0.06,-0.06,0.6,1718890581.1702218
-0.08,-0.08,0.59,1718890581.1712346
-0.06,-0.05,0.51,1718890581.1712346
-0.13,-0.06,0.49,1718890581.2367067
-0.1,-0.08,0.45,1718890581.2367067
-0.03,-0.02,0.43,1718890581.2377264
-0.08,-0.12,0.26,1718890581.2377264
-0.11,-0.0,0.34,1718890581.3035054
-0.06,-0.03,0.39,1718890581.3035054
-0.03,0.02,0.44,1718890581.3045194
-0.1,-0.1,0.4,1718890581.3701794
-0.11,-0.1,0.34,1718890581.370443
-0.0,-0.03,0.36,1718890581.3710697
0.09,0.01,0.49,1718890581.3710697
-0.44,-0.92,1.01,1718890581.4367666
-0.57,-0.92,0.78,1718890581.4367666
-0.49,-0.86,0.82,1718890581.4367666
-0.4,-0.85,0.76,1718890581.502964
-0.13,-0.73,0.82,1718890581.502964
-0.12,-0.88,0.82,1718890581.502964
-0.14,-0.97,1.01,1718890581.504298
-0.1,-1.02,0.86,1718890581.5693698
-0.02,-0.92,0.8,1718890581.5703702
-0.13,-0.92,0.8,1718890581.5703702
-0.17,-0.87,0.82,1718890581.5703702
-0.29,-0.94,0.66,1718890581.6370409
-0.32,-0.88,0.8,1718890581.6379395
-0.28,-0.83,0.57,1718890581.6379395
0.61,-0.47,0.42,1718890581.703441
0.76,-0.55,0.59,1718890581.703441
0.75,-0.49,0.42,1718890581.7042997
0.66,-0.44,0.37,1718890581.7052994
0.45,-0.42,0.28,1718890581.7698636
0.41,-0.44,0.39,1718890581.7707384
0.47,-0.42,0.34,1718890581.7707384
0.45,-0.38,0.37,1718890581.7717366
0.61,-0.16,0.46,1718890581.836795
0.44,-0.19,0.21,1718890581.8376882
0.41,-0.15,0.06,1718890581.8376882
0.57,-0.1,0.06,1718890581.90355
0.55,-0.07,0.03,1718890581.9037282
0.35,-0.13,-0.1,1718890581.9037282
0.41,0.18,-0.15,1718890581.9047365
0.7,0.4,-0.16,1718890581.9700565
