X,Y,Z,Timestamp
-0.13,-0.44,0.58,1718890698.989443
1.59,1.81,0.15,1718890698.989443
0.25,0.19,0.82,1718890698.9904447
-0.2,-0.28,0.32,1718890698.9917161
0.08,-0.03,0.59,1718890698.9917161
0.05,-0.13,0.48,1718890698.992836
0.16,-0.08,0.21,1718890698.992836
0.07,-0.02,0.07,1718890698.9938428
-0.15,0.18,0.05,1718890698.9938428
-0.01,0.02,0.68,1718890698.9953253
0.21,0.24,0.88,1718890698.9953253
-0.15,-0.16,0.55,1718890698.996332
-0.08,-0.06,0.65,1718890698.996332
0.07,0.03,0.62,1718890698.9973319
-0.0,-0.17,0.54,1718890698.9973319
-0.3,-0.37,0.36,1718890698.998333
-0.06,-0.1,0.64,1718890698.998333
-0.09,-0.13,0.68,1718890698.998333
-0.09,-0.16,0.61,1718890698.9993303
-0.03,-0.15,0.64,1718890698.9993303
-0.05,-0.13,0.59,1718890699.0003304
-0.05,-0.09,0.56,1718890699.0013344
-0.04,-0.06,0.48,1718890699.0013344
-0.04,-0.08,0.56,1718890699.0358136
-0.09,-0.13,0.57,1718890699.0358136
-0.09,-0.14,0.58,1718890699.036813
-0.04,-0.05,0.59,1718890699.1021106
-0.08,-0.13,0.58,1718890699.1029885
-0.06,-0.14,0.59,1718890699.1039934
-0.0,-0.0,0.7,1718890699.1049933
-0.05,-0.17,0.63,1718890699.1690252
-0.03,-0.15,0.63,1718890699.1690252
-0.05,-0.13,0.61,1718890699.1700244
-0.1,-0.13,0.57,1718890699.1700244
-0.05,-0.1,0.5,1718890699.235655
-0.07,-0.07,0.52,1718890699.235655
-0.06,-0.09,0.52,1718890699.2365174
-0.0,-0.13,0.62,1718890699.3023589
-0.0,-0.1,0.59,1718890699.3023589
-0.04,-0.08,0.63,1718890699.3033724
-0.05,-0.14,0.62,1718890699.3033724
-0.03,-0.15,0.62,1718890699.3691943
-0.05,-0.1,0.6,1718890699.3699765
-0.24,-0.3,0.36,1718890699.3699765
-0.08,-0.11,0.49,1718890699.4358118
0.03,-0.09,0.52,1718890699.4358118
0.1,-0.12,0.51,1718890699.43683
0.08,-0.07,0.56,1718890699.4378283
0.15,-0.08,0.54,1718890699.5019937
0.19,-0.08,0.6,1718890699.502992
0.27,-0.09,0.59,1718890699.502992
0.4,0.01,0.74,1718890699.5039914
-0.18,-0.2,0.62,1718890699.569505
-0.34,-0.3,0.42,1718890699.569505
-0.34,-0.23,0.47,1718890699.570522
-0.52,-0.27,0.44,1718890699.6361537
-0.52,-0.22,0.47,1718890699.6361537
-0.53,-0.21,0.49,1718890699.6361537
-0.5,-0.18,0.51,1718890699.6371717
-0.55,-0.16,0.45,1718890699.7024875
-0.5,-0.18,0.49,1718890699.7024875
-0.54,-0.18,0.53,1718890699.703486
-0.58,-0.17,0.49,1718890699.7681646
-0.51,-0.24,0.49,1718890699.7691884
-0.51,-0.23,0.49,1718890699.7691884
-0.47,-0.2,0.46,1718890699.7701886
-0.34,-0.62,0.92,1718890699.8355627
0.42,0.03,1.06,1718890699.8359551
-0.13,-0.63,0.49,1718890699.8366594
0.3,0.11,0.74,1718890699.8370855
0.28,0.04,0.72,1718890699.9018865
-0.17,-0.85,0.74,1718890699.9028955
0.15,-0.74,0.9,1718890699.9028955
0.23,-0.77,0.97,1718890699.9038925
0.07,-0.9,1.12,1718890699.9687629
0.14,-0.56,1.25,1718890699.969679
-0.24,-0.95,0.82,1718890699.969679
-0.4,-0.9,0.74,1718890700.0358257
-0.33,-0.78,0.76,1718890700.0358257
-0.33,-0.79,0.82,1718890700.0367634
-0.1,-0.56,0.97,1718890700.0367634
-0.48,-0.9,0.75,1718890700.1026294
0.1,-0.45,0.49,1718890700.1026294
0.09,-0.4,0.39,1718890700.1036296
0.06,-0.39,0.34,1718890700.1036296
0.23,-0.25,0.36,1718890700.1686354
0.44,-0.28,0.36,1718890700.1686354
0.77,0.03,0.57,1718890700.1699765
0.59,-0.16,1.01,1718890700.2356613
0.42,-0.41,0.57,1718890700.2356613
0.38,-0.44,0.54,1718890700.236661
0.42,-0.46,0.51,1718890700.2368033
0.32,-0.49,0.44,1718890700.3026385
0.73,-0.17,0.58,1718890700.3029196
0.5,-0.23,0.47,1718890700.3035018
0.54,-0.2,0.59,1718890700.3039849
0.47,-0.15,0.76,1718890700.3690593
0.28,-0.38,0.54,1718890700.3690593
0.15,-0.41,0.96,1718890700.3699486
-0.14,-0.52,0.5,1718890700.3699486
-0.18,-0.29,0.39,1718890700.4357405
