X,Y,Z,Timestamp
-0.43,0.02,0.14,1718891005.4311457
-0.37,0.05,0.14,1718891005.432128
-0.4,0.04,0.18,1718891005.432128
-0.39,0.06,0.24,1718891005.433127
-0.26,0.1,0.21,1718891005.433127
-0.23,0.06,0.35,1718891005.4341276
-0.19,-0.0,0.44,1718891005.4341276
-0.16,-0.0,0.47,1718891005.4351277
-0.17,-0.04,0.54,1718891005.4365778
-0.14,-0.04,0.56,1718891005.4376867
-0.16,-0.1,0.64,1718891005.4376867
-0.17,-0.08,0.61,1718891005.4376867
-0.19,-0.09,0.6,1718891005.4386926
-0.2,-0.03,0.51,1718891005.4389338
-0.24,-0.08,0.57,1718891005.4389338
-0.32,-0.12,0.52,1718891005.4389338
-0.3,-0.13,0.57,1718891005.4399397
-0.27,-0.13,0.56,1718891005.4399397
-0.2,-0.06,0.58,1718891005.4399397
-0.19,-0.07,0.56,1718891005.4409406
-0.13,-0.08,0.6,1718891005.4777262
-0.1,-0.08,0.58,1718891005.4777262
-0.12,-0.07,0.56,1718891005.478734
-0.21,-0.07,0.6,1718891005.478734
-0.23,-0.03,0.58,1718891005.5450654
-0.22,-0.03,0.58,1718891005.5460668
-0.29,-0.09,0.55,1718891005.5460668
-0.2,-0.07,0.54,1718891005.6113443
-0.24,-0.12,0.5,1718891005.6113443
-0.19,-0.12,0.46,1718891005.6123073
-0.21,-0.11,0.37,1718891005.6132567
-0.18,-0.05,0.34,1718891005.6780624
-0.04,-0.02,0.27,1718891005.6780624
0.03,0.1,0.22,1718891005.6790426
0.08,0.04,0.14,1718891005.6790426
0.15,0.05,0.13,1718891005.7446048
0.09,0.03,0.16,1718891005.7455292
0.08,-0.01,0.14,1718891005.7455292
0.08,-0.04,0.21,1718891005.7465267
-0.03,-0.07,0.31,1718891005.8119974
-0.1,-0.15,0.4,1718891005.8124156
-0.16,-0.21,0.54,1718891005.813233
-0.77,-0.62,0.9,1718891005.878625
-0.75,-0.59,0.9,1718891005.8789146
-0.7,-0.61,0.78,1718891005.8799272
-0.73,-0.52,0.6,1718891005.881042
-0.85,-0.48,0.54,1718891005.9448843
-0.9,-0.49,0.57,1718891005.9448843
-0.92,-0.56,0.55,1718891005.9458864
-0.9,-0.56,0.54,1718891006.0107973
-0.84,-0.51,0.58,1718891006.011764
-0.59,-0.3,0.75,1718891006.011764
-0.74,-0.54,0.55,1718891006.011764
-0.73,-0.51,0.47,1718891006.077836
-0.63,-0.49,0.4,1718891006.077836
-0.51,-0.41,0.44,1718891006.07883
0.61,-0.33,0.68,1718891006.1445985
0.6,-0.34,0.73,1718891006.1445985
0.49,-0.38,0.7,1718891006.1445985
0.32,-0.44,0.6,1718891006.1445985
0.39,-0.37,0.7,1718891006.211312
0.29,-0.39,0.67,1718891006.211312
0.2,-0.42,0.69,1718891006.2123346
0.23,-0.42,0.78,1718891006.2123346
0.21,-0.45,0.82,1718891006.278607
0.19,-0.43,0.79,1718891006.2788482
0.21,-0.46,0.87,1718891006.2788482
0.13,-0.44,0.75,1718891006.2798743
0.14,-0.39,0.7,1718891006.3448248
0.13,-0.39,0.67,1718891006.3448248
0.11,-0.41,0.76,1718891006.3458316
-0.02,-0.39,0.76,1718891006.4119182
0.04,0.05,0.46,1718891006.4119182
-0.18,-0.06,0.27,1718891006.4119182
-0.41,-0.0,0.2,1718891006.4129593
-0.95,-0.05,0.04,1718891006.4786363
