X,Y,Z,Timestamp
-0.09,-0.45,0.74,1718891099.6933372
-0.05,-0.46,0.87,1718891099.6943443
0.08,-0.2,0.8,1718891099.6943443
0.07,-0.37,0.71,1718891099.6953804
-0.06,-0.14,0.67,1718891099.6953804
-0.14,-0.17,0.59,1718891099.6964362
-0.09,-0.23,0.59,1718891099.6964362
-0.11,-0.18,0.64,1718891099.6974318
-0.15,-0.18,0.65,1718891099.6974318
-0.11,-0.21,0.64,1718891099.6981218
-0.19,-0.1,0.61,1718891099.698407
-0.15,-0.16,0.55,1718891099.698407
-0.2,-0.12,0.47,1718891099.6994143
-0.25,-0.15,0.51,1718891099.6994143
-0.23,-0.1,0.6,1718891099.7004135
-0.2,-0.19,0.58,1718891099.7004135
-0.14,-0.24,0.64,1718891099.7004135
-0.17,-0.2,0.61,1718891099.7014127
-0.13,-0.2,0.61,1718891099.7014127
-0.13,-0.15,0.61,1718891099.7014127
-0.16,-0.19,0.62,1718891099.7024121
-0.16,-0.2,0.62,1718891099.7024121
-0.11,-0.14,0.59,1718891099.7024121
-0.15,-0.13,0.63,1718891099.7034123
-0.12,-0.21,0.6,1718891099.7034123
-0.11,-0.18,0.62,1718891099.7034123
-0.18,-0.16,0.59,1718891099.7044125
-0.16,-0.14,0.52,1718891099.743322
-0.12,-0.13,0.54,1718891099.7443223
-0.17,-0.16,0.5,1718891099.7444608
-0.15,-0.15,0.55,1718891099.744867
-0.12,-0.17,0.6,1718891099.8098078
-0.12,-0.13,0.65,1718891099.8108072
-0.08,-0.13,0.69,1718891099.8108072
-0.05,-0.11,0.67,1718891099.8767745
-0.09,-0.05,0.67,1718891099.877777
-0.09,-0.09,0.67,1718891099.8780575
-0.04,-0.09,0.73,1718891099.8787851
-0.07,-0.07,0.64,1718891099.9437766
-0.08,-0.16,0.66,1718891099.9442723
-0.17,-0.07,0.64,1718891099.9453948
-0.04,-0.13,0.65,1718891100.0099907
-0.13,-0.08,0.59,1718891100.0109825
-0.1,-0.2,0.58,1718891100.0109825
-0.08,-0.07,0.73,1718891100.0119798
-0.1,-0.06,0.7,1718891100.0773122
-0.72,0.03,-0.83,1718891100.0791965
-0.33,-0.46,-0.25,1718891100.0801504
-0.06,-0.93,0.45,1718891100.1429791
0.39,-1.02,1.6,1718891100.1439402
0.49,-1.07,2.08,1718891100.144944
0.19,-0.88,1.72,1718891100.1459374
0.02,-0.7,1.16,1718891100.209525
-0.04,-0.55,0.91,1718891100.2105207
0.09,-0.26,0.92,1718891100.2105207
-0.04,-0.44,0.62,1718891100.211522
0.03,-0.45,0.89,1718891100.2769408
-0.05,-0.5,0.9,1718891100.277306
-0.0,-0.6,0.99,1718891100.2779498
-0.04,-0.54,0.89,1718891100.3433394
-0.06,-0.49,0.8,1718891100.3442905
-0.51,-0.01,-0.13,1718891100.3442905
-0.44,-0.17,-0.0,1718891100.3452477
-0.28,-0.28,0.23,1718891100.4104989
-0.19,-0.46,0.4,1718891100.4109633
-0.15,-0.51,0.68,1718891100.4114416
0.08,-0.7,1.18,1718891100.4114416
0.08,-0.72,1.32,1718891100.476451
-0.04,-0.72,1.36,1718891100.4775462
0.07,-0.63,1.12,1718891100.4775462
0.03,-0.44,0.86,1718891100.5433242
