X,Y,Z,Timestamp
-0.03,-0.34,0.49,1718891068.0720189
-0.08,-0.38,0.5,1718891068.0730205
-0.1,-0.38,0.52,1718891068.0730205
-0.09,-0.34,0.46,1718891068.0730205
-0.1,-0.35,0.46,1718891068.0740209
-0.16,-0.43,0.57,1718891068.0740209
-0.12,-0.41,0.62,1718891068.0750208
-0.14,-0.42,0.64,1718891068.0750208
-0.1,-0.47,0.65,1718891068.0750208
-0.18,-0.29,0.59,1718891068.0764017
-0.21,-0.25,0.59,1718891068.0764017
-0.2,-0.21,0.59,1718891068.0769885
-0.12,-0.23,0.59,1718891068.0774033
-0.28,-0.23,0.53,1718891068.0774033
-0.28,-0.23,0.52,1718891068.078174
-0.28,-0.21,0.5,1718891068.078174
-0.25,-0.18,0.6,1718891068.0791812
-0.2,-0.1,0.59,1718891068.0791812
-0.2,-0.13,0.47,1718891068.0791812
-0.18,-0.12,0.57,1718891068.0801792
-0.28,-0.14,0.56,1718891068.0801792
-0.21,-0.15,0.5,1718891068.0801792
-0.23,-0.16,0.49,1718891068.0811796
-0.27,-0.21,0.57,1718891068.0821822
-0.25,-0.2,0.63,1718891068.0821822
-0.28,-0.13,0.66,1718891068.0831814
-0.3,-0.18,0.58,1718891068.0831814
-0.33,-0.15,0.56,1718891068.0831814
-0.34,-0.21,0.56,1718891068.08418
-0.3,-0.19,0.61,1718891068.0851805
-0.31,-0.21,0.61,1718891068.0851805
-0.25,-0.18,0.58,1718891068.0851805
-0.29,-0.17,0.63,1718891068.0861824
-0.26,-0.2,0.6,1718891068.0861824
-0.23,-0.19,0.57,1718891068.0871797
-0.29,-0.19,0.52,1718891068.0871797
-0.24,-0.15,0.58,1718891068.0881815
-0.31,-0.18,0.55,1718891068.0881815
-0.31,-0.21,0.56,1718891068.1442516
-0.29,-0.16,0.58,1718891068.1442516
-0.28,-0.19,0.54,1718891068.1452057
-0.25,-0.15,0.54,1718891068.2111387
-0.25,-0.21,0.65,1718891068.2115388
-0.26,-0.19,0.64,1718891068.2123718
-0.25,-0.16,0.68,1718891068.2129242
-0.28,-0.16,0.66,1718891068.2779748
-0.26,-0.23,0.54,1718891068.2779748
-0.25,-0.2,0.58,1718891068.2789857
-0.25,-0.18,0.56,1718891068.3443615
-0.24,-0.16,0.56,1718891068.3443615
-0.25,-0.2,0.6,1718891068.345376
-0.32,-0.16,0.49,1718891068.345376
-0.26,-0.16,0.43,1718891068.4111383
-0.2,-0.11,0.37,1718891068.4111383
-0.24,-0.03,0.36,1718891068.4121509
-0.22,-0.11,0.27,1718891068.477996
-0.07,-0.12,0.36,1718891068.478129
-0.03,-0.18,0.47,1718891068.478732
0.05,-0.16,0.48,1718891068.478732
-0.04,-0.23,0.52,1718891068.5437634
0.01,-0.23,0.6,1718891068.5446618
0.12,-0.34,0.75,1718891068.5456645
0.18,-0.31,0.8,1718891068.5467072
0.15,-0.38,0.78,1718891068.6110673
0.05,-0.31,0.73,1718891068.6120384
0.08,-0.33,0.7,1718891068.6120384
-0.44,-0.28,0.43,1718891068.6130338
-0.44,-0.34,0.4,1718891068.6767995
-0.49,-0.26,0.42,1718891068.6777942
-0.5,-0.29,0.37,1718891068.6777942
-0.51,-0.29,0.33,1718891068.7434723
-0.46,-0.31,0.39,1718891068.7444723
-0.5,-0.34,0.45,1718891068.7444723
-0.44,-0.39,0.47,1718891068.7444723
-0.49,-0.34,0.5,1718891068.8101904
-0.63,-0.4,0.47,1718891068.8111959
-0.52,-0.45,0.5,1718891068.8111959
-0.43,-0.47,0.58,1718891068.8770702
-0.45,-0.39,0.52,1718891068.8770702
-0.54,-0.41,0.45,1718891068.8770702
-0.18,-0.49,0.55,1718891068.8785055
-0.14,-0.56,0.64,1718891068.9440203
-0.19,-0.59,0.64,1718891068.9440203
-0.19,-0.59,0.71,1718891068.9449863
-0.15,-0.62,0.72,1718891069.010385
-0.16,-0.59,0.72,1718891069.0113726
-0.08,-0.56,0.72,1718891069.0113726
-0.18,-0.58,0.69,1718891069.0113726
-0.14,-0.58,0.62,1718891069.0779805
