TimeStamp,Z,Y,X
1.74665E+18,9.695456505,1.468509197,-0.109519921
1.74665E+18,9.69490242,1.469294548,-0.142897263
1.74665E+18,9.695813179,1.463366508,-0.142034084
1.74665E+18,9.697481155,1.451954961,-0.145194724
1.74665E+18,9.699363708,1.439095259,-0.147423625
1.74665E+18,9.702575684,1.416659832,-0.153230354
1.74665E+18,9.706134796,1.390390158,-0.167760149
1.74665E+18,9.708451271,1.372449875,-0.180897504
1.74665E+18,9.709854126,1.361979485,-0.184746623
1.74665E+18,9.71045208,1.358038425,-0.182276934
1.74665E+18,9.710609436,1.358073115,-0.173444912
1.74665E+18,9.710467339,1.361083508,-0.157053679
1.74665E+18,9.709749222,1.36824441,-0.138105214
1.74665E+18,9.708900452,1.375866652,-0.120931149
1.74665E+18,9.707986832,1.383168936,-0.110591829
1.74665E+18,9.706986427,1.390226245,-0.109873384
1.74665E+18,9.706027985,1.396445155,-0.115501292
1.74665E+18,9.704957008,1.402910233,-0.126687467
1.74665E+18,9.703921318,1.408968449,-0.138231874
1.74665E+18,9.703344345,1.412668228,-0.140904874
1.74665E+18,9.702858925,1.416221976,-0.138742343
1.74665E+18,9.702173233,1.421377778,-0.133790016
1.74665E+18,9.701223373,1.428334355,-0.12844786
1.74665E+18,9.700069427,1.436421037,-0.125453517
1.74665E+18,9.698340416,1.447945118,-0.126658008
1.74665E+18,9.696180344,1.461936116,-0.131187648
1.74665E+18,9.693971634,1.476278305,-0.133844912
1.74665E+18,9.692106247,1.488559842,-0.132926762
1.74665E+18,9.690820694,1.496891379,-0.133030519
1.74665E+18,9.690098763,1.501382589,-0.134997845
1.74665E+18,9.689914703,1.502213717,-0.138917044
1.74665E+18,9.689781189,1.502577305,-0.144202173
1.74665E+18,9.689573288,1.503160954,-0.151903048
1.74665E+18,9.688923836,1.506151676,-0.163265914
1.74665E+18,9.687459946,1.513869524,-0.178093061
1.74665E+18,9.685310364,1.526021242,-0.190838605
1.74665E+18,9.682840347,1.54005146,-0.203074306
1.74665E+18,9.680356979,1.553738117,-0.216726795
1.74665E+18,9.677706718,1.567691088,-0.233942449
1.74665E+18,9.67472744,1.582918167,-0.253770471
1.74665E+18,9.67097187,1.600949287,-0.282213151
1.74665E+18,9.666052818,1.62223947,-0.325802475
1.74665E+18,9.660354614,1.643675327,-0.382467628
1.74665E+18,9.654031754,1.663554788,-0.450143486
1.74665E+18,9.647010803,1.6810956,-0.528664112
1.74665E+18,9.63882637,1.696507931,-0.620692551
1.74665E+18,9.629857063,1.706490874,-0.723967254
1.74665E+18,9.618763924,1.716559529,-0.838575065
1.74665E+18,9.604456902,1.734964728,-0.956392288
1.74665E+18,9.585647583,1.767449975,-1.077903867
1.74665E+18,9.561644554,1.814084291,-1.205996633
1.74665E+18,9.533603668,1.868487716,-1.33773911
1.74665E+18,9.502933502,1.92337966,-1.471481085
1.74665E+18,9.471248627,1.972369909,-1.604866982
1.74665E+18,9.439148903,2.015562534,-1.735038757
1.74665E+18,9.406917572,2.055178404,-1.859174252
