TimeStamp,Z,Y,X
1.74664E+18,9.537461281,2.242140055,-0.424285531
1.74664E+18,9.530575752,2.27112937,-0.424814612
1.74664E+18,9.525222778,2.282980919,-0.478021622
1.74664E+18,9.522004128,2.281344652,-0.545235574
1.74664E+18,9.518719673,2.277047396,-0.615985572
1.74664E+18,9.51488781,2.275075436,-0.679203868
1.74664E+18,9.510641098,2.280023336,-0.72082597
1.74664E+18,9.507863998,2.283196211,-0.746949613
1.74664E+18,9.506519318,2.283430338,-0.763162553
1.74664E+18,9.505799294,2.283753157,-0.771116853
1.74664E+18,9.50561142,2.280944824,-0.781690896
1.74664E+18,9.504585266,2.279968977,-0.796865463
1.74664E+18,9.502902985,2.281319618,-0.812891781
1.74664E+18,9.501268387,2.283793449,-0.824964762
1.74664E+18,9.499202728,2.289790154,-0.832104564
1.74664E+18,9.497166634,2.294877052,-0.841280401
1.74664E+18,9.495511055,2.298009396,-0.85135597
1.74664E+18,9.494514465,2.297632456,-0.863396347
1.74664E+18,9.493406296,2.295829535,-0.880216599
1.74664E+18,9.491459846,2.293619156,-0.906579614
1.74664E+18,9.488178253,2.293172359,-0.941390514
1.74664E+18,9.483488083,2.295753956,-0.981508911
1.74664E+18,9.476681709,2.30473876,-1.025215864
1.74664E+18,9.468667984,2.317348003,-1.069864154
1.74664E+18,9.459494591,2.332766294,-1.116491318
1.74664E+18,9.44962883,2.350152016,-1.162617087
1.74664E+18,9.4395504,2.370200872,-1.203087926
1.74664E+18,9.428829193,2.394474506,-1.238569856
1.74664E+18,9.417385101,2.42215395,-1.271384835
1.74664E+18,9.404592514,2.454826832,-1.303013682
1.74664E+18,9.390224457,2.491298676,-1.336967349
1.74664E+18,9.373902321,2.530040503,-1.378128648
1.74664E+18,9.355689049,2.570515156,-1.42615068
1.74664E+18,9.335201263,2.613123655,-1.481888413
1.74664E+18,9.312019348,2.656432867,-1.549210906
1.74664E+18,9.28615284,2.701085806,-1.62539196
1.74664E+18,9.258468628,2.747061968,-1.704347134
1.74664E+18,9.228600502,2.794991016,-1.786433816
1.74664E+18,9.195568085,2.848324776,-1.870548725
1.74664E+18,9.160484314,2.908388376,-1.94863975
1.74664E+18,9.124278069,2.975393772,-2.016171455
1.74664E+18,9.087134361,3.046159983,-2.07732892
1.74664E+18,9.048397064,3.119762182,-2.13634944
1.74664E+18,9.008621216,3.195696831,-2.191497803
1.74664E+18,8.968425751,3.27315855,-2.241461754
1.74664E+18,8.928224564,3.351357222,-2.285955906
1.74664E+18,8.888077736,3.428650141,-2.327405214
1.74664E+18,8.847595215,3.507113695,-2.364448071
1.74664E+18,8.805944443,3.588172674,-2.398071766
1.74664E+18,8.762644768,3.675098419,-2.424893379
1.74664E+18,8.716960907,3.771213293,-2.441913128
1.74664E+18,8.667435646,3.876696825,-2.452994585
1.74664E+18,8.615275383,3.987532616,-2.459065199
1.74664E+18,8.563354492,4.098181248,-2.458508015
1.74664E+18,8.512782097,4.20392704,-2.455590963
1.74664E+18,8.466268539,4.293379307,-2.461622
1.74664E+18,8.420882225,4.374363422,-2.474688053
1.74664E+18,8.378207207,4.448645592,-2.487084627
1.74664E+18,8.338405609,4.516116142,-2.499214172
1.74664E+18,8.303734779,4.57389164,-2.509560347
1.74664E+18,8.277906418,4.618638515,-2.512937546
1.74664E+18,8.263733864,4.64533186,-2.510374546
1.74664E+18,8.26469326,4.650875568,-2.49691534
1.74664E+18,8.279100418,4.636560917,-2.475722075
1.74664E+18,8.302582741,4.606945515,-2.452255964
1.74664E+18,8.331073761,4.567612171,-2.429097176
1.74664E+18,8.361492157,4.524127007,-2.405849457
1.74664E+18,8.39342308,4.478295326,-2.380278349
1.74664E+18,8.427850723,4.428124428,-2.352324009
1.74664E+18,8.466164589,4.369016647,-2.325111151
1.74664E+18,8.513604164,4.290748119,-2.29747963
1.74664E+18,8.572689056,4.18827486,-2.266659498
1.74664E+18,8.643457413,4.06205368,-2.227273464
