X,Y,Z,Timestamp
0.31,1.1,0.82,1744576508.1008255
0.82,1.32,1.06,1744576508.1008255
0.49,1.12,1.14,1744576508.1008255
1.1,1.16,1.32,1744576508.1018257
0.58,0.96,1.28,1744576508.1018257
0.82,0.95,1.45,1744576508.1018257
0.59,1.02,1.31,1744576508.1018257
0.63,1.02,1.31,1744576508.1018257
0.03,0.95,1.26,1744576508.1028275
0.96,1.14,1.24,1744576508.1028275
0.42,0.9,1.33,1744576508.1028275
1.54,1.24,1.1,1744576508.1250372
0.54,1.21,0.8,1744576508.1650295
2.07,0.96,1.47,1744576508.205034
1.7,1.81,1.6,1744576508.2448823
1.26,0.75,1.22,1744576508.2844126
0.82,0.73,1.95,1744576508.3252265
0.94,0.87,1.23,1744576508.3646512
0.8,0.72,2.1,1744576508.4052274
0.97,0.82,1.34,1744576508.4452157
0.95,0.82,1.87,1744576508.4852314
0.82,0.76,1.07,1744576508.5248144
0.67,0.87,1.16,1744576508.565074
0.69,0.81,1.21,1744576508.604806
0.82,1.05,0.91,1744576508.6448624
1.24,0.71,1.26,1744576508.6850872
1.11,1.01,-0.19,1744576508.7252805
0.19,-0.13,1.72,1744576508.7646518
0.07,0.21,0.49,1744576508.8043597
-0.28,-0.13,1.42,1744576508.8451064
0.82,0.46,2.63,1744576508.8851094
1.85,0.39,1.57,1744576508.9247077
0.79,0.28,1.58,1744576508.9651184
1.65,0.62,1.2,1744576509.005123
0.9,0.49,1.57,1744576509.0452862
1.5,0.64,1.6,1744576509.0847485
0.92,0.57,1.19,1744576509.1249664
0.5,0.56,1.34,1744576509.1650214
