X,Y,Z,Timestamp
0.75,0.9,1.77,1744750452.8021097
0.75,0.9,1.78,1744750452.8033462
0.75,0.9,1.75,1744750452.8033462
0.75,0.9,1.76,1744750452.8038497
0.75,0.91,1.76,1744750452.8038497
0.75,0.9,1.76,1744750452.8038497
0.75,0.9,1.78,1744750452.8038497
0.75,0.9,1.78,1744750452.8038497
0.75,0.9,1.77,1744750452.8038497
0.75,0.9,1.77,1744750452.8048587
0.74,0.9,1.76,1744750452.8048587
0.74,0.9,1.76,1744750452.8048587
0.74,0.9,1.76,1744750452.8048587
0.73,0.91,1.75,1744750452.8048587
0.73,0.9,1.78,1744750452.8058634
0.73,0.9,1.77,1744750452.8058634
0.73,0.9,1.76,1744750452.8058634
0.73,0.9,1.78,1744750452.8058634
0.74,0.89,1.8,1744750452.8058634
0.73,0.9,1.78,1744750452.8058634
0.73,0.9,1.78,1744750452.8068671
0.75,0.9,1.79,1744750452.8068671
0.75,0.9,1.78,1744750452.8068671
0.76,0.9,1.77,1744750452.8068671
0.74,0.9,1.76,1744750452.807869
0.75,0.9,1.77,1744750452.807869
0.75,0.9,1.78,1744750452.807869
0.75,0.9,1.78,1744750452.807869
0.76,0.9,1.78,1744750452.807869
0.75,0.9,1.8,1744750452.8092227
0.75,0.9,1.79,1744750452.8092227
0.75,0.9,1.78,1744750452.8092227
0.73,0.9,1.78,1744750452.8092227
0.74,0.9,1.77,1744750452.8092227
0.74,0.9,1.77,1744750452.810234
0.74,0.91,1.77,1744750452.810234
0.74,0.9,1.77,1744750452.810234
0.74,0.9,1.78,1744750452.810234
0.74,0.9,1.78,1744750452.810234
0.73,0.9,1.8,1744750452.811343
0.75,0.9,1.81,1744750452.811343
0.75,0.9,1.8,1744750452.811343
0.75,0.9,1.81,1744750452.811343
0.75,0.9,1.78,1744750452.812348
0.75,0.9,1.79,1744750452.812348
0.74,0.9,1.8,1744750452.812348
0.74,0.9,1.78,1744750452.812348
0.74,0.91,1.79,1744750452.812348
0.75,0.9,1.81,1744750452.812348
0.75,0.91,1.79,1744750452.812348
0.75,0.9,1.78,1744750452.8138516
0.74,0.9,1.78,1744750452.8138516
0.74,0.9,1.78,1744750452.8138516
0.73,0.9,1.78,1744750452.8138516
0.73,0.9,1.78,1744750452.8138516
0.72,0.9,1.78,1744750452.8148742
0.73,0.9,1.77,1744750452.8148742
0.73,0.9,1.78,1744750452.8148742
0.74,0.9,1.78,1744750452.8148742
0.74,0.9,1.79,1744750452.8148742
0.75,0.9,1.8,1744750452.8159232
0.74,0.9,1.79,1744750452.8159232
0.74,0.9,1.79,1744750452.8159232
0.74,0.9,1.78,1744750452.8159232
0.74,0.9,1.78,1744750452.8169274
0.75,0.9,1.77,1744750452.8169274
0.75,0.9,1.78,1744750452.8169274
0.75,0.91,1.78,1744750452.8169274
0.75,0.9,1.77,1744750452.8169274
0.74,0.91,1.77,1744750452.8169274
0.74,0.91,1.76,1744750452.8182366
0.73,0.9,1.78,1744750452.8182366
0.74,0.9,1.78,1744750452.8182366
0.72,0.9,1.79,1744750452.8182366
0.73,0.9,1.78,1744750452.8192637
